,county,district_name,instruction,support,community,other,sum,year
709,Amount,,"926,415","647,462",0,"25,386","1,599,262",2010
710,Per Pupil,83.7 ," 11,068 "," 7,736 ", 0 , 303 ," 19,107 ",2010
711,All Funds,,57.9 ,40.5 ,0.0 ,1.6 ,100.0 ,2010
712,,CHARTER SCHOOL INSTITUTE,,,,,,2010
713,Amount,,"31,582,803","24,642,295","49,762","14,599,500","70,874,360",2010
714,Per Pupil,"7,599.7 "," 4,156 "," 3,243 ", 7 ," 1,921 "," 9,326 ",2010
715,All Funds,,44.6 ,34.8 ,0.1 ,20.6 ,100.0 ,2010
716,,EAST CENTRAL BOCES,,,,,,2010
717,Amount,,"5,467,209","4,124,241",0,0,"9,591,450",2010
718,All Funds,,57.0 ,43.0 ,0.0 ,0.0 ,100.0 ,2010
719,,MOUNTAIN BOCES,,,,,,2010
720,Amount,,"9,022,986","5,601,112",0,"128,997","14,753,095",2010
721,All Funds,,61.2 ,38.0 ,0.0 ,0.9 ,100.0 ,2010
722,,CENTENNIAL BOCES,,,,,,2010
723,Amount,,"3,891,409","8,712,241","162,589","205,723","12,971,962",2010
724,All Funds,,30.0 ,67.2 ,1.3 ,1.6 ,100.0 ,2010
725,,NORTHEAST BOCES,,,,,,2010
726,Amount,,"2,450,672","2,857,247","1,365","70,648","5,379,932",2010
727,All Funds,,45.6 ,53.1 ,0.0 ,1.3 ,100.0 ,2010
728,,PIKES PEAK BOCES,,,,,,2010
729,Amount,,"6,980,218","3,866,664",0,"269,301","11,116,183",2010
730,All Funds,,62.8 ,34.8 ,0.0 ,2.4 ,100.0 ,2010
731,,SAN JUAN BOCES,,,,,,2010
732,Amount,,"3,649,704","4,123,084",0,"291,305","8,064,093",2010
733,All Funds,,45.3 ,51.1 ,0.0 ,3.6 ,100.0 ,2010
734,,SAN LUIS VALLEY BOCES,,,,,,2010
735,Amount,,"2,227,857","3,124,770","355,840",0,"5,708,467",2010
736,All Funds,,39.0 ,54.7 ,6.2 ,0.0 ,100.0 ,2010
737,,SOUTH CENTRAL BOCES,,,,,,2010
738,Amount,,"1,045,233","3,427,372","37,825","182,971","4,693,401",2010
739,All Funds,,22.3 ,73.0 ,0.8 ,3.9 ,100.0 ,2010
740,,SOUTHEASTERN BOCES,,,,,,2010
741,Amount,,"1,226,543","1,793,628",0,0,"3,020,171",2010
742,All Funds,,40.6 ,59.4 ,0.0 ,0.0 ,100.0 ,2010
743,,SOUTHWEST BOCES,,,,,,2010
744,Amount,,0,0,0,0,0,2010
745,All Funds,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2010
746,,NORTHWEST BOCES,,,,,,2010
747,Amount,,"1,314,652","2,009,686",0,"64,406","3,388,744",2010
748,All Funds,,38.8 ,59.3 ,0.0 ,1.9 ,100.0 ,2010
749,,LARIMER COUNTY BOCES,,,,,,2010
750,Amount,,0,0,0,0,0,2010
751,All Funds,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2010
752,,ADAMS COUNTY BOCES,,,,,,2010
753,Amount,,0,"670,500",0,0,"670,500",2010
754,All Funds,,0.0 ,100.0 ,0.0 ,0.0 ,100.0 ,2010
755,,RIO BLANCO BOCES,,,,,,2010
756,Amount,,"1,442,775","559,328",0,0,"2,002,104",2010
757,All Funds,,72.1 ,27.9 ,0.0 ,0.0 ,100.0 ,2010
758,,EXPEDITIONARY BOCES,,,,,,2010
759,Amount,,"2,349,190","627,456",0,0,"2,976,646",2010
760,All Funds,,78.9 ,21.1 ,0.0 ,0.0 ,100.0 ,2010
761,,GRAND VALLEY BOCES,,,,,,2010
762,Amount,,"1,086,419","1,273,021","21,050",0,"2,380,490",2010
763,All Funds,,45.6 ,53.5 ,0.9 ,0.0 ,100.0 ,2010
764,,MT EVANS BOCES,,,,,,2010
765,Amount,,"1,002,965","185,880",0,0,"1,188,845",2010
766,All Funds,,84.4 ,15.6 ,0.0 ,0.0 ,100.0 ,2010
767,,UNCOMPAHGRE BOCES,,,,,,2010
768,Amount,,"573,019","609,834",0,"15,800","1,198,654",2010
769,All Funds,,47.8 ,50.9 ,0.0 ,1.3 ,100.0 ,2010
770,,SANTA FE TRAIL BOCES,,,,,,2010
771,Amount,,"1,284,484","1,224,506",0,0,"2,508,989",2010
772,All Funds,,51.2 ,48.8 ,0.0 ,0.0 ,100.0 ,2010
773,,FRONT RANGE BOCES,,,,,,2010
774,Amount,,0,0,0,0,0,2010
775,All Funds,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2010
776,,UTE PASS BOCES,,,,,,2010
777,Amount,,"2,434,736","158,346",0,0,"2,593,082",2010
778,All Funds,,93.9 ,6.1 ,0.0 ,0.0 ,100.0 ,2010
779,DISTRICT TOTALS,,,,,,,2010
780,Amount,,"4,375,264,090","3,022,354,172","42,229,285","2,193,693,253","9,633,540,800",2010
781,Per Pupil,"798,599.5 "," 5,479 "," 3,785 ", 53 ," 2,747 "," 12,063 ",2010
782,All Funds,,45.4 ,31.4 ,0.4 ,22.8 ,100.0 ,2010
783,BOCES TOTALS,,,,,,,2010
784,Amount,,"47,450,071","44,948,917","578,669","1,229,151","94,206,809",2010
785,All Funds,,50.4 ,47.7 ,0.6 ,1.3 ,100.0 ,2010
786,STATE TOTALS,,,,,,,2010
787,Amount,," 4,422,714,161 "," 3,067,303,089 "," 42,807,954 "," 2,194,922,404 "," 9,727,747,609 ",2010
788,Per Pupil,"798,599.5 "," 5,538 "," 3,841 ", 54 ," 2,748 "," 12,181 ",2010
789,All Funds,,45.5 ,31.5 ,0.4 ,22.6 ,100.0 ,2010
0,ADAMS,MAPLETON 1,,,,,,2011
1,Amount,,"38,157,232","24,772,389","1,133,114","47,915,629","111,978,365",2011
2,Per Pupil,"7,322.0 "," 5,211 "," 3,383 ", 155 ," 6,544 "," 15,293 ",2011
3,All Funds,,34.1 ,22.1 ,1.0 ,42.8 ,100.0 ,2011
4,ADAMS,ADAMS 12 FIVE STAR,,,,,,2011
5,Amount,,"222,647,754","122,690,063","1,234,485","204,125,589","550,697,892",2011
6,Per Pupil,"41,105.0 "," 5,417 "," 2,985 ", 30 ," 4,966 "," 13,397 ",2011
7,All Funds,,40.4 ,22.3 ,0.2 ,37.1 ,100.0 ,2011
8,ADAMS,ADAMS COUNTY 14,,,,,,2011
9,Amount,,"35,356,243","37,275,630","795,722","7,400,225","80,827,821",2011
10,Per Pupil,"6,756.4 "," 5,233 "," 5,517 ", 118 ," 1,095 "," 11,963 ",2011
11,All Funds,,43.7 ,46.1 ,1.0 ,9.2 ,100.0 ,2011
12,ADAMS,BRIGHTON 27J,,,,,,2011
13,Amount,,"62,834,937","49,692,282","261,089","61,259,467","174,047,775",2011
14,Per Pupil,"14,821.9 "," 4,239 "," 3,353 ", 18 ," 4,133 "," 11,743 ",2011
15,All Funds,,36.1 ,28.6 ,0.2 ,35.2 ,100.0 ,2011
16,ADAMS,BENNETT 29J,,,,,,2011
17,Amount,,"4,471,446","3,839,480",0,"8,277,945","16,588,870",2011
18,Per Pupil,"1,047.6 "," 4,268 "," 3,665 ", 0 ," 7,902 "," 15,835 ",2011
19,All Funds,,27.0 ,23.1 ,0.0 ,49.9 ,100.0 ,2011
20,ADAMS,STRASBURG 31J,,,,,,2011
21,Amount,,"4,441,915","3,371,557",0,"6,942,257","14,755,729",2011
22,Per Pupil,952.5 ," 4,663 "," 3,540 ", 0 ," 7,288 "," 15,492 ",2011
23,All Funds,,30.1 ,22.8 ,0.0 ,47.0 ,100.0 ,2011
24,ADAMS,WESTMINSTER 50,,,,,,2011
25,Amount,,"50,976,836","42,731,800","485,730","10,856,522","105,050,888",2011
26,Per Pupil,"9,543.3 "," 5,342 "," 4,478 ", 51 ," 1,138 "," 11,008 ",2011
27,All Funds,,48.5 ,40.7 ,0.5 ,10.3 ,100.0 ,2011
28,ALAMOSA,ALAMOSA RE-11J,,,,,,2011
29,Amount,,"9,854,985","6,906,565",0,"2,891,497","19,653,047",2011
30,Per Pupil,"2,097.6 "," 4,698 "," 3,293 ", 0 ," 1,378 "," 9,369 ",2011
31,All Funds,,50.1 ,35.1 ,0.0 ,14.7 ,100.0 ,2011
32,ALAMOSA,SANGRE DE CRISTO RE-22J,,,,,,2011
33,Amount,,"1,729,715","1,699,152",0,"1,014,642","4,443,509",2011
34,Per Pupil,297.4 ," 5,816 "," 5,713 ", 0 ," 3,412 "," 14,941 ",2011
35,All Funds,,38.9 ,38.2 ,0.0 ,22.8 ,100.0 ,2011
36,ARAPAHOE,ENGLEWOOD 1,,,,,,2011
37,Amount,,"17,653,095","12,953,157","177,585","6,414,260","37,198,098",2011
38,Per Pupil,"2,931.4 "," 6,022 "," 4,419 ", 61 ," 2,188 "," 12,690 ",2011
39,All Funds,,47.5 ,34.8 ,0.5 ,17.2 ,100.0 ,2011
40,ARAPAHOE,SHERIDAN 2,,,,,,2011
41,Amount,,"10,549,826","10,061,700","52,498","4,567,087","25,231,110",2011
42,Per Pupil,"1,489.5 "," 7,083 "," 6,755 ", 35 ," 3,066 "," 16,939 ",2011
43,All Funds,,41.8 ,39.9 ,0.2 ,18.1 ,100.0 ,2011
44,ARAPAHOE,CHERRY CREEK 5,,,,,,2011
45,Amount,,"323,780,400","150,242,974","1,116,022","136,020,063","611,159,459",2011
46,Per Pupil,"49,788.0 "," 6,503 "," 3,018 ", 22 ," 2,732 "," 12,275 ",2011
47,All Funds,,53.0 ,24.6 ,0.2 ,22.3 ,100.0 ,2011
48,ARAPAHOE,LITTLETON 6,,,,,,2011
49,Amount,,"84,782,588","52,823,735","4,783","17,185,358","154,796,463",2011
50,Per Pupil,"14,928.0 "," 5,679 "," 3,539 ", 0 ," 1,151 "," 10,370 ",2011
51,All Funds,,54.8 ,34.1 ,0.0 ,11.1 ,100.0 ,2011
52,ARAPAHOE,DEER TRAIL 26J,,,,,,2011
53,Amount,,"1,370,559","1,039,739","23,320","30,733","2,464,351",2011
54,Per Pupil,157.1 ," 8,724 "," 6,618 ", 148 , 196 ," 15,687 ",2011
55,All Funds,,55.6 ,42.2 ,0.9 ,1.2 ,100.0 ,2011
56,ARAPAHOE,ADAMS-ARAPAHOE 28J,,,,,,2011
57,Amount,,"194,041,294","142,067,306","1,350,276","262,051,593","599,510,470",2011
58,Per Pupil,"36,551.8 "," 5,309 "," 3,887 ", 37 ," 7,169 "," 16,402 ",2011
59,All Funds,,32.4 ,23.7 ,0.2 ,43.7 ,100.0 ,2011
60,ARAPAHOE,BYERS 32J,,,,,,2011
61,Amount,,"2,403,715","1,961,002","48,645","1,085,737","5,499,099",2011
62,Per Pupil,453.6 ," 5,299 "," 4,323 ", 107 ," 2,394 "," 12,123 ",2011
63,All Funds,,43.7 ,35.7 ,0.9 ,19.7 ,100.0 ,2011
64,ARCHULETA,ARCHULETA COUNTY 50 JT,,,,,,2011
65,Amount,,"7,239,297","6,966,180",0,"940,545","15,146,022",2011
66,Per Pupil,"1,482.3 "," 4,884 "," 4,700 ", 0 , 635 ," 10,218 ",2011
67,All Funds,,47.8 ,46.0 ,0.0 ,6.2 ,100.0 ,2011
68,BACA,WALSH RE-1,,,,,,2011
69,Amount,,"1,183,935","953,754",0,"18,146","2,155,835",2011
70,Per Pupil,147.0 ," 8,054 "," 6,488 ", 0 , 123 ," 14,666 ",2011
71,All Funds,,54.9 ,44.2 ,0.0 ,0.8 ,100.0 ,2011
72,BACA,PRITCHETT RE-3,,,,,,2011
73,Amount,,"694,331","609,447",0,0,"1,303,777",2011
74,Per Pupil,67.2 ," 10,332 "," 9,069 ", 0 , 0 ," 19,401 ",2011
75,All Funds,,53.3 ,46.7 ,0.0 ,0.0 ,100.0 ,2011
76,BACA,SPRINGFIELD RE-4,,,,,,2011
77,Amount,,"1,652,702","1,138,387",0,"26,331","2,817,420",2011
78,Per Pupil,270.0 ," 6,121 "," 4,216 ", 0 , 98 ," 10,435 ",2011
79,All Funds,,58.7 ,40.4 ,0.0 ,0.9 ,100.0 ,2011
80,BACA,VILAS RE-5,,,,,,2011
81,Amount,,"1,235,157","901,414",0,291,"2,136,862",2011
82,Per Pupil,291.5 ," 4,237 "," 3,092 ", 0 , 1 ," 7,331 ",2011
83,All Funds,,57.8 ,42.2 ,0.0 ,0.0 ,100.0 ,2011
84,BACA,CAMPO RE-6,,,,,,2011
85,Amount,,"537,284","527,999","18,804",0,"1,084,087",2011
86,Per Pupil,48.7 ," 11,033 "," 10,842 ", 386 , 0 ," 22,261 ",2011
87,All Funds,,49.6 ,48.7 ,1.7 ,0.0 ,100.0 ,2011
88,BENT,LAS ANIMAS RE-1,,,,,,2011
89,Amount,,"2,708,401","2,127,892",0,"483,894","5,320,186",2011
90,Per Pupil,528.6 ," 5,124 "," 4,026 ", 0 , 915 ," 10,065 ",2011
91,All Funds,,50.9 ,40.0 ,0.0 ,9.1 ,100.0 ,2011
92,BENT,MCCLAVE RE-2,,,,,,2011
93,Amount,,"1,473,523","1,255,272","1,364","143,959","2,874,118",2011
94,Per Pupil,271.3 ," 5,431 "," 4,627 ", 5 , 531 ," 10,594 ",2011
95,All Funds,,51.3 ,43.7 ,0.0 ,5.0 ,100.0 ,2011
96,BOULDER,ST VRAIN VALLEY RE 1J,,,,,,2011
97,Amount,,"131,469,112","96,330,428","769,071","109,303,868","337,872,480",2011
98,Per Pupil,"26,120.2 "," 5,033 "," 3,688 ", 29 ," 4,185 "," 12,935 ",2011
99,All Funds,,38.9 ,28.5 ,0.2 ,32.4 ,100.0 ,2011
100,BOULDER,BOULDER VALLEY RE 2,,,,,,2011
101,Amount,,"180,641,258","114,267,073","4,798,932","79,475,218","379,182,480",2011
102,Per Pupil,"28,317.5 "," 6,379 "," 4,035 ", 169 ," 2,807 "," 13,390 ",2011
103,All Funds,,47.6 ,30.1 ,1.3 ,21.0 ,100.0 ,2011
104,CHAFFEE,BUENA VISTA R-31,,,,,,2011
105,Amount,,"5,374,699","3,789,206",0,"638,703","9,802,607",2011
106,Per Pupil,939.0 ," 5,724 "," 4,035 ", 0 , 680 ," 10,439 ",2011
107,All Funds,,54.8 ,38.7 ,0.0 ,6.5 ,100.0 ,2011
108,CHAFFEE,SALIDA R-32,,,,,,2011
109,Amount,,"6,579,209","4,652,874",0,"24,540,583","35,772,665",2011
110,Per Pupil,"1,068.8 "," 6,156 "," 4,353 ", 0 ," 22,961 "," 33,470 ",2011
111,All Funds,,18.4 ,13.0 ,0.0 ,68.6 ,100.0 ,2011
112,CHEYENNE,KIT CARSON R-1,,,,,,2011
113,Amount,,"1,117,972","876,569",0,"91,831","2,086,372",2011
114,Per Pupil,114.5 ," 9,764 "," 7,656 ", 0 , 802 ," 18,222 ",2011
115,All Funds,,53.6 ,42.0 ,0.0 ,4.4 ,100.0 ,2011
116,CHEYENNE,CHEYENNE COUNTY RE-5,,,,,,2011
117,Amount,,"1,558,290","1,332,532",248,"5,018,491","7,909,561",2011
118,Per Pupil,175.6 ," 8,874 "," 7,588 ", 1 ," 28,579 "," 45,043 ",2011
119,All Funds,,19.7 ,16.8 ,0.0 ,63.4 ,100.0 ,2011
120,CLEAR CREEK,CLEAR CREEK RE-1,,,,,,2011
121,Amount,,"5,268,673","4,743,727",0,"15,450,578","25,462,978",2011
122,Per Pupil,907.1 ," 5,808 "," 5,230 ", 0 ," 17,033 "," 28,071 ",2011
123,All Funds,,20.7 ,18.6 ,0.0 ,60.7 ,100.0 ,2011
124,CONEJOS,NORTH CONEJOS RE-1J,,,,,,2011
125,Amount,,"5,645,357","3,426,969",0,"243,677","9,316,003",2011
126,Per Pupil,"1,050.0 "," 5,377 "," 3,264 ", 0 , 232 ," 8,872 ",2011
127,All Funds,,60.6 ,36.8 ,0.0 ,2.6 ,100.0 ,2011
128,CONEJOS,SANFORD 6J,,,,,,2011
129,Amount,,"1,873,125","1,189,438",0,"577,829","3,640,392",2011
130,Per Pupil,328.4 ," 5,704 "," 3,622 ", 0 ," 1,760 "," 11,085 ",2011
131,All Funds,,51.5 ,32.7 ,0.0 ,15.9 ,100.0 ,2011
132,CONEJOS,SOUTH CONEJOS RE-10,,,,,,2011
133,Amount,,"1,500,314","1,473,348",285,"66,216","3,040,164",2011
134,Per Pupil,253.7 ," 5,914 "," 5,807 ", 1 , 261 ," 11,983 ",2011
135,All Funds,,49.3 ,48.5 ,0.0 ,2.2 ,100.0 ,2011
136,COSTILLA,CENTENNIAL R-1,,,,,,2011
137,Amount,,"1,146,650","1,347,480",0,"1,143,089","3,637,219",2011
138,Per Pupil,235.9 ," 4,861 "," 5,712 ", 0 ," 4,846 "," 15,418 ",2011
139,All Funds,,31.5 ,37.0 ,0.0 ,31.4 ,100.0 ,2011
140,COSTILLA,SIERRA GRANDE R-30,,,,,,2011
141,Amount,,"1,655,065","2,171,706",0,"336,992","4,163,762",2011
142,Per Pupil,270.5 ," 6,119 "," 8,028 ", 0 ," 1,246 "," 15,393 ",2011
143,All Funds,,39.7 ,52.2 ,0.0 ,8.1 ,100.0 ,2011
144,CROWLEY,CROWLEY COUNTY RE-1-J,,,,,,2011
145,Amount,,"2,356,953","1,940,489",0,"161,671","4,459,114",2011
146,Per Pupil,485.6 ," 4,854 "," 3,996 ", 0 , 333 ," 9,183 ",2011
147,All Funds,,52.9 ,43.5 ,0.0 ,3.6 ,100.0 ,2011
148,CUSTER,CONSOLIDATED C-1,,,,,,2011
149,Amount,,"2,272,482","1,765,506",0,"2,485,898","6,523,887",2011
150,Per Pupil,449.0 ," 5,061 "," 3,932 ", 0 ," 5,537 "," 14,530 ",2011
151,All Funds,,34.8 ,27.1 ,0.0 ,38.1 ,100.0 ,2011
152,DELTA,DELTA COUNTY 50(J),,,,,,2011
153,Amount,,"27,095,567","13,635,667","3,730","28,703,417","69,438,381",2011
154,Per Pupil,"5,063.4 "," 5,351 "," 2,693 ", 1 ," 5,669 "," 13,714 ",2011
155,All Funds,,39.0 ,19.6 ,0.0 ,41.3 ,100.0 ,2011
156,DENVER,DENVER COUNTY 1,,,,,,2011
157,Amount,,"445,458,597","384,559,117","24,083,605","376,042,967","1,230,144,286",2011
158,Per Pupil,"75,004.5 "," 5,939 "," 5,127 ", 321 ," 5,014 "," 16,401 ",2011
159,All Funds,,36.2 ,31.3 ,2.0 ,30.6 ,100.0 ,2011
160,DOLORES,DOLORES COUNTY RE NO.2,,,,,,2011
161,Amount,,"1,778,909","1,443,053",0,"388,379","3,610,340",2011
162,Per Pupil,267.0 ," 6,663 "," 5,405 ", 0 ," 1,455 "," 13,522 ",2011
163,All Funds,,49.3 ,40.0 ,0.0 ,10.8 ,100.0 ,2011
164,DOUGLAS,DOUGLAS COUNTY RE 1,,,,,,2011
165,Amount,,"290,525,230","185,604,803","832,632","183,111,462","660,074,127",2011
166,Per Pupil,"59,606.4 "," 4,874 "," 3,114 ", 14 ," 3,072 "," 11,074 ",2011
167,All Funds,,44.0 ,28.1 ,0.1 ,27.7 ,100.0 ,2011
168,EAGLE,EAGLE COUNTY RE 50,,,,,,2011
169,Amount,,"36,781,755","26,959,227","1,341,035","24,393,469","89,475,487",2011
170,Per Pupil,"5,993.7 "," 6,137 "," 4,498 ", 224 ," 4,070 "," 14,928 ",2011
171,All Funds,,41.1 ,30.1 ,1.5 ,27.3 ,100.0 ,2011
172,ELBERT,ELIZABETH C-1,,,,,,2011
173,Amount,,"11,552,301","10,927,528","229,963","6,342,578","29,052,370",2011
174,Per Pupil,"2,576.3 "," 4,484 "," 4,242 ", 89 ," 2,462 "," 11,277 ",2011
175,All Funds,,39.8 ,37.6 ,0.8 ,21.8 ,100.0 ,2011
176,ELBERT,KIOWA C-2,,,,,,2011
177,Amount,,"2,048,736","1,349,278",0,"335,286","3,733,300",2011
178,Per Pupil,357.7 ," 5,728 "," 3,772 ", 0 , 937 ," 10,437 ",2011
179,All Funds,,54.9 ,36.1 ,0.0 ,9.0 ,100.0 ,2011
180,ELBERT,BIG SANDY 100J,,,,,,2011
181,Amount,,"2,084,007","1,210,121","2,173","2,990,538","6,286,839",2011
182,Per Pupil,306.0 ," 6,810 "," 3,955 ", 7 ," 9,773 "," 20,545 ",2011
183,All Funds,,33.1 ,19.2 ,0.0 ,47.6 ,100.0 ,2011
184,ELBERT,ELBERT 200,,,,,,2011
185,Amount,,"1,524,465","1,074,631",0,"41,766","2,640,861",2011
186,Per Pupil,222.4 ," 6,855 "," 4,832 ", 0 , 188 ," 11,874 ",2011
187,All Funds,,57.7 ,40.7 ,0.0 ,1.6 ,100.0 ,2011
188,ELBERT,AGATE 300,,,,,,2011
189,Amount,,"314,589","411,232",0,"8,548","734,369",2011
190,Per Pupil,45.8 ," 6,869 "," 8,979 ", 0 , 187 ," 16,034 ",2011
191,All Funds,,42.8 ,56.0 ,0.0 ,1.2 ,100.0 ,2011
192,EL PASO,CALHAN RJ-1,,,,,,2011
193,Amount,,"2,676,570","1,947,394",0,"173,776","4,797,740",2011
194,Per Pupil,518.8 ," 5,159 "," 3,754 ", 0 , 335 ," 9,248 ",2011
195,All Funds,,55.8 ,40.6 ,0.0 ,3.6 ,100.0 ,2011
196,EL PASO,HARRISON 2,,,,,,2011
197,Amount,,"50,347,660","40,640,718","95,971","11,878,043","102,962,393",2011
198,Per Pupil,"10,355.1 "," 4,862 "," 3,925 ", 9 ," 1,147 "," 9,943 ",2011
199,All Funds,,48.9 ,39.5 ,0.1 ,11.5 ,100.0 ,2011
200,EL PASO,WIDEFIELD 3,,,,,,2011
201,Amount,,"39,394,071","27,862,135","1,308,042","4,477,352","73,041,601",2011
202,Per Pupil,"8,578.3 "," 4,592 "," 3,248 ", 152 , 522 ," 8,515 ",2011
203,All Funds,,53.9 ,38.1 ,1.8 ,6.1 ,100.0 ,2011
204,EL PASO,FOUNTAIN 8,,,,,,2011
205,Amount,,"37,719,632","26,830,998","148,183","12,142,176","76,840,989",2011
206,Per Pupil,"7,208.6 "," 5,233 "," 3,722 ", 21 ," 1,684 "," 10,660 ",2011
207,All Funds,,49.1 ,34.9 ,0.2 ,15.8 ,100.0 ,2011
208,EL PASO,COLORADO SPRINGS 11,,,,,,2011
209,Amount,,"156,732,194","102,662,745","1,003,119","34,424,388","294,822,446",2011
210,Per Pupil,"28,163.3 "," 5,565 "," 3,645 ", 36 ," 1,222 "," 10,468 ",2011
211,All Funds,,53.2 ,34.8 ,0.3 ,11.7 ,100.0 ,2011
212,EL PASO,CHEYENNE MOUNTAIN 12,,,,,,2011
213,Amount,,"21,842,315","13,852,462","42,498","20,393,418","56,130,692",2011
214,Per Pupil,"4,405.3 "," 4,958 "," 3,144 ", 10 ," 4,629 "," 12,742 ",2011
215,All Funds,,38.9 ,24.7 ,0.1 ,36.3 ,100.0 ,2011
216,EL PASO,MANITOU SPRINGS 14,,,,,,2011
217,Amount,,"8,039,117","5,757,298","2,849","717,546","14,516,809",2011
218,Per Pupil,"1,434.5 "," 5,604 "," 4,013 ", 2 , 500 ," 10,120 ",2011
219,All Funds,,55.4 ,39.7 ,0.0 ,4.9 ,100.0 ,2011
220,EL PASO,ACADEMY 20,,,,,,2011
221,Amount,,"116,364,214","76,150,859","330,635","66,681,893","259,527,602",2011
222,Per Pupil,"22,437.9 "," 5,186 "," 3,394 ", 15 ," 2,972 "," 11,566 ",2011
223,All Funds,,44.8 ,29.3 ,0.1 ,25.7 ,100.0 ,2011
224,EL PASO,ELLICOTT 22,,,,,,2011
225,Amount,,"4,256,775","3,570,723",0,"3,025,088","10,852,586",2011
226,Per Pupil,942.2 ," 4,518 "," 3,790 ", 0 ," 3,211 "," 11,518 ",2011
227,All Funds,,39.2 ,32.9 ,0.0 ,27.9 ,100.0 ,2011
228,EL PASO,PEYTON 23 JT,,,,,,2011
229,Amount,,"2,845,645","2,350,101",0,"3,671,771","8,867,518",2011
230,Per Pupil,648.5 ," 4,388 "," 3,624 ", 0 ," 5,662 "," 13,674 ",2011
231,All Funds,,32.1 ,26.5 ,0.0 ,41.4 ,100.0 ,2011
232,EL PASO,HANOVER 28,,,,,,2011
233,Amount,,"1,436,044","1,314,951",0,"802,486","3,553,481",2011
234,Per Pupil,238.6 ," 6,019 "," 5,511 ", 0 ," 3,363 "," 14,893 ",2011
235,All Funds,,40.4 ,37.0 ,0.0 ,22.6 ,100.0 ,2011
236,EL PASO,LEWIS-PALMER 38,,,,,,2011
237,Amount,,"26,035,998","20,808,353","354,374","49,752,252","96,950,978",2011
238,Per Pupil,"5,667.7 "," 4,594 "," 3,671 ", 63 ," 8,778 "," 17,106 ",2011
239,All Funds,,26.9 ,21.5 ,0.4 ,51.3 ,100.0 ,2011
240,EL PASO,FALCON 49,,,,,,2011
241,Amount,,"56,585,096","46,100,349","11,710","17,599,959","120,297,114",2011
242,Per Pupil,"14,283.7 "," 3,962 "," 3,227 ", 1 ," 1,232 "," 8,422 ",2011
243,All Funds,,47.0 ,38.3 ,0.0 ,14.6 ,100.0 ,2011
244,EL PASO,EDISON 54 JT,,,,,,2011
245,Amount,,"1,143,831","970,218",0,"50,366","2,164,415",2011
246,Per Pupil,183.8 ," 6,223 "," 5,279 ", 0 , 274 ," 11,776 ",2011
247,All Funds,,52.8 ,44.8 ,0.0 ,2.3 ,100.0 ,2011
248,EL PASO,MIAMI/YODER 60 JT,,,,,,2011
249,Amount,,"1,646,851","1,384,654",0,"261,072","3,292,577",2011
250,Per Pupil,305.5 ," 5,391 "," 4,532 ", 0 , 855 ," 10,778 ",2011
251,All Funds,,50.0 ,42.1 ,0.0 ,7.9 ,100.0 ,2011
252,FREMONT,CANON CITY RE-1,,,,,,2011
253,Amount,,"17,833,015","12,329,770","175,758","10,460,152","40,798,696",2011
254,Per Pupil,"3,775.8 "," 4,723 "," 3,265 ", 47 ," 2,770 "," 10,805 ",2011
255,All Funds,,43.7 ,30.2 ,0.4 ,25.6 ,100.0 ,2011
256,FREMONT,FLORENCE RE-2,,,,,,2011
257,Amount,,"7,250,914","5,837,218","140,006","7,400,446","20,628,585",2011
258,Per Pupil,"1,630.9 "," 4,446 "," 3,579 ", 86 ," 4,538 "," 12,649 ",2011
259,All Funds,,35.1 ,28.3 ,0.7 ,35.9 ,100.0 ,2011
260,FREMONT,COTOPAXI RE-3,,,,,,2011
261,Amount,,"1,311,048","1,107,051",0,"224,660","2,642,760",2011
262,Per Pupil,207.7 ," 6,312 "," 5,330 ", 0 ," 1,082 "," 12,724 ",2011
263,All Funds,,49.6 ,41.9 ,0.0 ,8.5 ,100.0 ,2011
264,GARFIELD,ROARING FORK RE-1,,,,,,2011
265,Amount,,"31,287,549","16,206,256",0,"88,344,174","135,837,979",2011
266,Per Pupil,"5,133.0 "," 6,095 "," 3,157 ", 0 ," 17,211 "," 26,464 ",2011
267,All Funds,,23.0 ,11.9 ,0.0 ,65.0 ,100.0 ,2011
268,GARFIELD,GARFIELD RE-2,,,,,,2011
269,Amount,,"21,218,663","19,223,011","16,115","29,319,320","69,777,109",2011
270,Per Pupil,"4,530.5 "," 4,684 "," 4,243 ", 4 ," 6,472 "," 15,402 ",2011
271,All Funds,,30.4 ,27.5 ,0.0 ,42.0 ,100.0 ,2011
272,GARFIELD,GARFIELD 16,,,,,,2011
273,Amount,,"5,454,157","5,302,420",0,"5,151,493","15,908,070",2011
274,Per Pupil,"1,153.2 "," 4,730 "," 4,598 ", 0 ," 4,467 "," 13,795 ",2011
275,All Funds,,34.3 ,33.3 ,0.0 ,32.4 ,100.0 ,2011
276,GILPIN,GILPIN COUNTY RE-1,,,,,,2011
277,Amount,,"2,375,462","2,292,190",0,"1,841,714","6,509,366",2011
278,Per Pupil,331.0 ," 7,177 "," 6,925 ", 0 ," 5,564 "," 19,666 ",2011
279,All Funds,,36.5 ,35.2 ,0.0 ,28.3 ,100.0 ,2011
280,GRAND,WEST GRAND 1-JT.,,,,,,2011
