school,district_id,district_name,emh,school_id,school_grade,read_achievement,math_achievement,write_achievement,science_achievement,overall_weighted_growth,read_growth,math_growth,write_growth,graduation_rate
OLATHE HIGH SCHOOL,2180,MONTROSE COUNTY RE-1J,H,6494,6,6,6,6,6,6,7,5,7,89.2
SADDLE RANCH ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,7562,9,10,11,10,8,10,9,10,9,
CHERRY CREEK CHARTER ACADEMY,130,CHERRY CREEK 5,E,1571,9,12,12,12,9,8,9,9,6,
NORTH FORK VISION SCHOOL,870,DELTA COUNTY 50(J),H,9146,6,7,6,7,7,9,6,9,11,35.700000000000003
MIAMI-YODER SENIOR HIGH SCHOOL,1130,MIAMI/YODER 60 JT,H,5854,6,6,5,6,6,5,7,4,5,84.9
REVERE JUNIOR-SENIOR HIGH SCHOOL,2865,PLATTE VALLEY RE-3,H,7322,6,9,6,6,6,6,2,10,6,80
MANHATTAN MIDDLE SCHOOL OF THE ARTS AND ACADEMICS,480,BOULDER VALLEY RE 2,M,1136,9,8,7,9,10,10,10,10,6,
CIVA CHARTER ACADEMY,1010,COLORADO SPRINGS 11,H,1616,6,6,5,6,5,7,9,6,6,71
ERIE MIDDLE SCHOOL,470,ST VRAIN VALLEY RE 1J,M,2760,9,9,7,9,9,10,9,12,8,
GOVERNOR'S RANCH ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,3536,9,8,8,9,7,9,9,9,7,
GRAND JUNCTION HIGH SCHOOL,2000,MESA COUNTY VALLEY 51,H,3570,6,7,7,7,9,6,6,6,6,77.8
WELLINGTON MIDDLE SCHOOL,1550,POUDRE R-1,M,9374,9,7,6,7,9,10,10,10,8,
CRAWFORD ELEMENTARY SCHOOL,870,DELTA COUNTY 50(J),E,1952,9,9,12,8,7,9,7,7,9,
CRESTONE CHARTER SCHOOL,2800,MOFFAT 2,M,2018,9,9,6,6,10,12,13,10,9,
CORONADO HIGH SCHOOL,1010,COLORADO SPRINGS 11,H,1870,6,8,9,9,7,3,4,3,5,76.7
WINDSOR HIGH SCHOOL,3100,WINDSOR RE-4,H,9672,6,6,8,7,8,3,1,5,2,86
ARVADA HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,370,5,5,6,6,5,7,6,9,6,81.5
MIDDLE PARK HIGH SCHOOL,1350,EAST GRAND 2,H,5864,6,6,8,6,6,3,2,5,3,90.4
ROCKY TOP MIDDLE SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,M,57,9,9,9,9,9,9,9,9,6,
MAPLETON EARLY COLLEGE HIGH SCHOOL,10,MAPLETON 1,H,212,6,5,3,5,3,10,12,7,10,25
NEW VISTA HIGH SCHOOL,480,BOULDER VALLEY RE 2,H,6195,5,6,8,8,8,3,1,5,3,70.5
CENTENNIAL ELEMENTARY SCHOOL,1560,THOMPSON R2-J,E,1385,9,8,9,9,9,9,10,9,9,
CREEKSIDE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,1970,9,9,10,9,10,10,12,9,9,
SIMLA ELEMENTARY SCHOOL,940,BIG SANDY 100J,E,7914,9,7,9,9,7,9,6,9,9,
STEELE ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,8242,9,9,9,7,9,10,7,12,9,
FRISCO ELEMENTARY SCHOOL,3000,SUMMIT RE-1,E,8374,9,9,9,7,8,9,9,10,6,
WIDEFIELD HIGH SCHOOL,990,WIDEFIELD 3,H,9566,6,6,6,6,6,5,5,5,5,82.8
DELTA VISION SCHOOL,870,DELTA COUNTY 50(J),H,2166,6,6,5,6,7,6,2,4,12,79.400000000000006
BRUCE RANDOLPH SCHOOL,880,DENVER COUNTY 1,H,6350,6,3,4,3,2,9,9,9,9,85.9
ROCKY MOUNTAIN CLASSICAL ACADEMY,1110,FALCON 49,H,7463,6,6,5,6,8,7,9,6,6,
BLUE HERON ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,951,9,9,10,9,7,9,6,10,7,
HIGHLAND HIGH SCHOOL,3145,AULT-HIGHLAND RE-9,H,3962,6,6,7,6,6,7,8,7,6,79.5
PARADOX VALLEY CHARTER SCHOOL,2190,WEST END RE-2,E,6718,9,8,8,7,,9,6,9,7,
CENTRAL HIGH SCHOOL,2000,MESA COUNTY VALLEY 51,H,1450,6,6,6,6,7,6,6,7,6,77.400000000000006
ERIE ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,2758,9,9,7,6,6,10,12,7,9,
NEVIN PLATT MIDDLE SCHOOL,480,BOULDER VALLEY RE 2,M,6224,9,12,10,12,12,8,7,9,6,
PEAK TO PEAK CHARTER SCHOOL,480,BOULDER VALLEY RE 2,E,6816,9,12,12,9,10,9,7,7,10,
POLARIS EXPEDITIONARY LEARNING SCHOOL,1550,POUDRE R-1,H,7104,6,6,6,6,5,5,6,3,6,75
PRIMERO JUNIOR-SENIOR HIGH SCHOOL,1590,PRIMERO REORGANIZED 2,H,7164,6,6,6,6,6,5,6,3,6,85.2
CROWLEY COUNTY HIGH SCHOOL,770,CROWLEY COUNTY RE-1-J,H,2058,6,6,6,6,6,6,7,6,5,83.9
FREDERICK SENIOR HIGH SCHOOL,470,ST VRAIN VALLEY RE 1J,H,3196,6,6,6,6,6,6,6,6,6,79.5
LAURENE EDMONDSON ELEMENTARY SCHOOL,1560,THOMPSON R2-J,E,5018,9,6,8,8,6,9,6,9,10,
BATTLE MOUNTAIN HIGH SCHOOL,910,EAGLE COUNTY RE 50,H,604,6,6,7,6,6,6,6,6,6,83.4
TIMNATH ELEMENTARY SCHOOL,1550,POUDRE R-1,E,8852,9,8,9,8,7,10,11,9,10,
YUMA HIGH SCHOOL,3200,YUMA 1,H,9799,6,6,6,6,6,6,6,6,5,82.7
EAGLE VALLEY ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,2346,9,6,8,6,9,9,9,9,8,
HIGHLINE ACADEMY CHARTER SCHOOL,880,DENVER COUNTY 1,M,3987,9,8,6,10,7,9,12,6,11,
WILLIAM SMITH HIGH SCHOOL,180,ADAMS-ARAPAHOE 28J,H,8356,6,6,6,6,5,9,9,9,7,22.2
COAL RIDGE HIGH SCHOOL,1195,GARFIELD RE-2,H,65,6,6,6,6,6,4,5,5,3,83.5
COYOTE HILLS ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,243,9,12,13,12,11,6,6,7,6,
DEER CREEK MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,2130,9,9,8,10,10,7,6,9,6,
LAS ANIMAS HIGH SCHOOL,290,LAS ANIMAS RE-1,H,4990,6,6,5,6,5,6,6,7,5,70.5
SOUTH LAKEWOOD ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,8102,9,7,6,7,8,10,9,9,11,
BRIGHTON HIGH SCHOOL,40,BRIGHTON 27J,H,1022,6,6,6,6,6,6,6,6,5,82
WELD CENTRAL SENIOR HIGH SCHOOL,3090,KEENESBURG RE-3(J),H,1446,6,6,6,6,5,5,6,6,3,83.7
FOUNTAIN-FORT CARSON HIGH SCHOOL,1000,FOUNTAIN 8,H,3110,6,6,6,6,6,3,3,3,5,91.6
MESA RIDGE HIGH SCHOOL,990,WIDEFIELD 3,H,5841,6,6,6,6,6,5,5,5,5,81.3
MORTENSEN ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,6133,9,9,9,9,10,9,10,6,8,
WILLIAM (BILL) ROBERTS K-8 SCHOOL,880,DENVER COUNTY 1,M,9623,9,6,6,6,6,12,12,12,8,
ANIMAS VALLEY ELEMENTARY SCHOOL,1520,DURANGO 9-R,E,225,9,9,9,9,9,9,9,9,7,
ASBURY ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,388,9,6,9,7,8,9,9,10,6,
NEW EMERSON SCHOOL AT COLUMBUS,2000,MESA COUNTY VALLEY 51,E,2724,9,12,10,9,10,9,9,9,9,
LOUISVILLE ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,5302,9,12,10,9,12,8,6,7,9,
PRESTON MIDDLE SCHOOL,1550,POUDRE R-1,M,7161,9,10,9,11,9,9,6,11,6,
WALDEN ELEMENTARY SCHOOL,1410,NORTH PARK R-1,E,9198,9,6,9,6,10,12,9,9,13,
WEST DENVER PREP - LAKE CAMPUS,880,DENVER COUNTY 1,M,9390,9,4,6,6,,13,10,13,13,
EXCEL ACADEMY CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,E,2799,9,8,9,8,9,8,7,10,6,
COLORADO CONNECTIONS ACADEMY,10,MAPLETON 1,H,1796,6,6,6,7,6,6,6,6,6,
MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,10,MAPLETON 1,H,187,6,5,5,5,5,9,9,9,8,47.6
SKYLINE HIGH SCHOOL,470,ST VRAIN VALLEY RE 1J,H,7954,6,6,6,6,6,5,6,5,3,77.7
MOFFAT SENIOR HIGH SCHOOL,2800,MOFFAT 2,H,5958,6,6,5,5,4,3,6,3,3,87.2
SOUTH HIGH SCHOOL,880,DENVER COUNTY 1,H,8086,6,3,5,3,3,9,9,7,8,61.8
MONTE VISTA SENIOR HIGH SCHOOL,2740,MONTE VISTA C-8,H,6046,6,6,6,6,6,5,2,6,5,86.6
MOUNTAIN VALLEY SENIOR HIGH SCHOOL,2790,MOUNTAIN VALLEY RE 1,H,6146,6,5,6,3,6,5,4,7,2,79.099999999999994
APPLETON ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,262,9,6,7,6,7,12,9,9,13,
JEFFERSON CHARTER ACADEMY JUNIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,M,4404,9,10,7,10,7,9,9,9,9,
THE VANGUARD SCHOOL (MIDDLE),8001,CHARTER SCHOOL INSTITUTE,M,9051,9,13,12,13,13,7,9,6,8,
BRANSON SCHOOL ONLINE,1750,BRANSON REORGANIZED 82,H,948,6,7,6,6,6,6,6,6,6,45.1
DE BEQUE UNDIVIDED HIGH SCHOOL,1980,DE BEQUE 49JT,H,2126,6,6,6,6,6,6,10,6,4,56
BURLINGTON HIGH SCHOOL,1500,BURLINGTON RE-6J,H,1152,6,6,6,6,6,3,5,2,2,92
THORNTON HIGH SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,H,5816,6,5,6,5,5,7,7,8,6,69.5
MOFFAT COUNTY HIGH SCHOOL,2020,MOFFAT COUNTY RE:NO 1,H,5962,6,6,6,6,6,5,3,6,6,83.8
THOMAS JEFFERSON HIGH SCHOOL,880,DENVER COUNTY 1,H,8822,6,6,6,6,6,6,9,6,6,71.599999999999994
EDWARDS ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,2530,9,6,6,6,6,10,11,9,10,
KINARD CORE KNOWLEDGE MIDDLE SCHOOL,1550,POUDRE R-1,M,4698,9,12,10,12,12,7,6,7,6,
MONUMENT CHARTER ACADEMY,1080,LEWIS-PALMER 38,M,5093,9,12,10,12,12,7,6,6,8,
GREEN GABLES ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,3622,9,7,7,6,9,11,12,12,7,
RYAN ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,7529,9,9,9,9,8,9,11,7,9,
SIERRA HIGH SCHOOL,980,HARRISON 2,H,7882,6,5,5,5,4,6,6,6,6,80.2
WALNUT HILLS COMMUNITY ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,9200,9,9,10,9,9,9,10,9,9,
GREENWOOD ECE-8,880,DENVER COUNTY 1,M,3647,9,6,6,6,6,11,9,12,9,
AURORA QUEST K-8,180,ADAMS-ARAPAHOE 28J,M,7232,9,13,13,13,13,6,6,6,6,
GREELEY CENTRAL HIGH SCHOOL,3120,GREELEY 6,H,3610,6,4,5,5,5,6,5,7,3,72.400000000000006
OVERLAND HIGH SCHOOL,130,CHERRY CREEK 5,H,6625,6,5,6,6,6,6,8,6,6,75.599999999999994
BRIDGES,1180,ROARING FORK RE-1,H,1006,6,5,6,6,7,6,6,5,8,61.2
GREELEY WEST HIGH SCHOOL,3120,GREELEY 6,H,3614,6,6,6,6,5,6,6,6,5,67.599999999999994
WASSON HIGH SCHOOL,1010,COLORADO SPRINGS 11,H,9298,5,4,5,4,4,5,5,5,5,67.2
HOLMES MIDDLE SCHOOL,1010,COLORADO SPRINGS 11,M,4070,9,10,8,10,9,9,9,10,7,
SAND CREEK ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,7610,9,9,10,10,9,9,9,6,10,
EDITH TETER ELEMENTARY SCHOOL,2610,PARK COUNTY RE-2,E,8114,9,8,9,9,10,8,6,6,10,
TRINIDAD HIGH SCHOOL,1580,TRINIDAD 1,H,8906,6,6,6,6,6,4,4,6,2,74.900000000000006
KIPP DENVER COLLEGIATE HIGH SCHOOL,880,DENVER COUNTY 1,H,4730,6,5,6,4,5,6,10,5,3,
CEDAR RIDGE ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,1377,9,9,9,9,7,7,6,6,9,
PRITCHETT HIGH SCHOOL,240,PRITCHETT RE-3,H,7180,6,4,4,4,,6,3,7,6,70
CORONADO ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,1876,9,10,11,10,10,9,9,10,8,
SARGENT JUNIOR HIGH SCHOOL,2750,SARGENT RE-33J,M,7668,9,9,7,10,12,10,9,12,9,
SIERRA ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,7870,9,10,9,11,8,9,9,7,9,
SOUTH HIGH SCHOOL,2690,PUEBLO CITY 60,H,8082,6,6,6,6,6,3,6,3,3,75.400000000000006
BANNING LEWIS RANCH ACADEMY,1110,FALCON 49,M,555,9,9,6,9,12,9,12,9,9,
NORTH PARK JUNIOR-SENIOR HIGH SCHOOL,1410,NORTH PARK R-1,M,6358,9,6,6,7,12,8,6,11,5,
SALIDA HIGH SCHOOL,500,SALIDA R-32,H,7568,5,6,7,6,6,2,1,5,1,86.9
MANZANOLA JUNIOR-SENIOR HIGH SCHOOL,2535,MANZANOLA 3J,H,5506,5,2,5,5,,3,5,3,3,76.5
FORT MORGAN HIGH SCHOOL,2405,FORT MORGAN RE-3,H,3078,5,5,6,6,6,6,5,6,6,64.599999999999994
PRAIRIE VIEW HIGH SCHOOL,40,BRIGHTON 27J,H,7129,5,5,6,6,6,4,3,5,5,80.8
ROCKY FORD JUNIOR/SENIOR HIGH SCHOOL,2530,ROCKY FORD R-2,H,7442,5,5,4,5,5,6,6,6,8,67.099999999999994
STOBER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,8276,9,7,8,7,6,9,10,9,8,
ACADEMY CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,E,11,9,9,10,9,9,10,10,12,8,
ROOSEVELT HIGH SCHOOL,3110,JOHNSTOWN-MILLIKEN RE-5J,H,7490,5,6,6,6,6,4,1,6,4,73.900000000000006
ADAMS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,30,9,9,9,9,11,7,10,6,6,
LASLEY ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,5004,9,6,6,6,5,9,10,9,9,
LONGMONT ESTATES ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,5284,9,9,9,9,8,8,7,6,10,
TWAIN ELEMENTARY SCHOOL,140,LITTLETON 6,E,5574,9,9,9,8,9,6,6,5,10,
RANGEVIEW HIGH SCHOOL,180,ADAMS-ARAPAHOE 28J,H,7250,5,5,6,6,6,7,8,6,6,67.5
ROONEY RANCH ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,7483,9,10,10,9,7,9,9,10,6,
DILLON VALLEY ELEMENTARY SCHOOL,3000,SUMMIT RE-1,E,8370,9,4,6,5,6,12,12,9,12,
WEST JEFFERSON ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,9424,9,9,9,9,10,6,5,6,6,
EAGLE COUNTY CHARTER ACADEMY,910,EAGLE COUNTY RE 50,M,2340,9,11,9,12,12,7,6,7,6,
KIPP SUNSHINE PEAK ACADEMY,880,DENVER COUNTY 1,M,4732,9,5,5,5,6,13,13,13,9,
ALAMOSA HIGH SCHOOL,100,ALAMOSA RE-11J,H,118,5,5,6,6,6,4,4,5,4,80.8
VENTURE PREP,880,DENVER COUNTY 1,H,2755,5,3,4,4,4,7,6,9,7,
ENGLEWOOD HIGH SCHOOL,120,ENGLEWOOD 1,H,2746,5,5,6,5,5,5,6,6,3,78
PUEBLO COUNTY HIGH SCHOOL,2700,PUEBLO COUNTY 70,H,7208,5,6,6,7,6,3,3,3,5,79.599999999999994
HINKLEY HIGH SCHOOL,180,ADAMS-ARAPAHOE 28J,H,4024,5,5,6,5,5,8,9,7,6,55.7
MITCHELL HIGH SCHOOL,1010,COLORADO SPRINGS 11,H,5948,5,5,6,5,5,6,6,6,6,71.5
RIDGE VIEW ACADEMY CHARTER SCHOOL,880,DENVER COUNTY 1,H,40,5,2,2,2,2,10,8,10,12,5.5
DOLORES HUERTA PREPARATORY HIGH SCHOOL,2690,PUEBLO CITY 60,H,2217,5,8,6,9,6,3,6,2,4,67.8
ACADEMY HIGH SCHOOL,10,MAPLETON 1,H,309,5,4,5,3,5,7,7,7,6,59.9
BENNETT ELEMENTARY SCHOOL,1550,POUDRE R-1,E,766,9,9,11,10,12,9,9,10,6,
GALETON ELEMENTARY SCHOOL,3085,EATON RE-2,E,3286,9,9,10,9,6,9,7,12,6,
AGUILAR JUNIOR-SENIOR HIGH SCHOOL,1620,AGUILAR REORGANIZED 6,H,66,5,3,3,4,3,7,9,6,6,72.099999999999994
COLORADO VIRTUAL ACADEMY (COVA),20,ADAMS 12 FIVE STAR SCHOOLS,H,1752,5,6,5,6,6,5,6,3,6,12
MESA ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,5838,9,12,12,11,12,7,6,6,9,
WITT ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,9678,9,7,7,6,6,9,6,9,9,
NORTHGLENN HIGH SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,H,6402,5,5,5,5,5,6,6,6,6,66.5
MONTEZUMA-CORTEZ HIGH SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,H,6026,5,6,6,6,6,5,3,6,4,68.2
WEBER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,9328,9,7,9,7,9,9,9,9,8,
DOLORES ELEMENTARY SCHOOL,2055,DOLORES RE-4A,E,2204,9,8,8,7,6,8,6,9,9,
MAMMOTH HEIGHTS ELEMENTARY,900,DOUGLAS COUNTY RE 1,E,2952,9,9,10,9,6,9,7,9,9,
HACKBERRY HILL ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,3726,9,9,10,9,12,9,10,6,7,
IGNACIO HIGH SCHOOL,1540,IGNACIO 11 JT,H,4258,5,5,5,4,3,5,5,5,3,59.2
MONTVIEW MATH & HEALTH SCIENCES ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,6068,9,4,7,5,6,12,8,13,9,
NORMANDY ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,6286,9,12,12,12,10,8,6,7,9,
ACADEMIA ANA MARIE SANDOVAL,880,DENVER COUNTY 1,E,6397,9,6,6,6,7,11,9,10,10,
SILVERHEELS MIDDLE SCHOOL,2610,PARK COUNTY RE-2,M,7891,9,9,7,9,9,9,9,10,6,
SUMMIT VIEW ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,8382,9,10,10,12,9,9,9,7,9,
CORWIN INTERNATIONAL MAGNET SCHOOL,2690,PUEBLO CITY 60,E,2096,9,10,10,12,9,9,8,7,9,
JULESBURG HIGH SCHOOL,2862,JULESBURG RE-1,M,4492,9,9,7,9,8,9,9,7,11,
LA JUNTA JR/SR HIGH SCHOOL,2520,EAST OTERO R-1,H,5015,5,6,6,6,6,3,1,6,2,
ODYSSEY CHARTER ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,6479,9,7,9,9,9,9,12,3,12,
SOUTHWEST EARLY COLLEGE CHARTER SCHOOL,880,DENVER COUNTY 1,H,8132,5,5,5,5,5,6,6,6,6,30.1
MONTE VISTA ON-LINE ACADEMY,2740,MONTE VISTA C-8,H,6520,5,6,6,6,6,6,9,3,6,40.4
GLOBAL LEADERSHIP ACADEMY,10,MAPLETON 1,H,263,5,1,3,2,1,7,9,5,9,44.1
JOHN MALL HIGH SCHOOL,1390,HUERFANO RE-1,H,9212,5,6,5,5,2,2,3,1,5,84.6
CENTENNIAL HIGH SCHOOL,2690,PUEBLO CITY 60,H,1402,5,6,6,6,6,2,3,3,1,76.5
SHERIDAN HIGH SCHOOL,123,SHERIDAN 2,H,7842,5,3,5,4,4,6,6,7,7,33
FORT LUPTON HIGH SCHOOL,3140,WELD COUNTY S/D RE-8,H,3070,5,5,5,5,5,6,6,6,6,58.7
NIKOLA TESLA EDUCATION OPPORTUNITY CENTER,1010,COLORADO SPRINGS 11,A,2528,5,,,,,,,,,
CANON CITY HIGH SCHOOL,1140,CANON CITY RE-1,H,1266,5,6,6,6,6,2,1,3,3,74.400000000000006
JEFFERSON HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,4422,5,3,3,3,1,6,6,6,7,52.5
FLAGSTAFF CHARTER ACADEMY,470,ST VRAIN VALLEY RE 1J,E,2964,9,12,12,10,12,7,7,7,6,
FRONTIER HIGH SCHOOL,920,ELIZABETH C-1,H,3236,5,2,1,2,1,6,9,5,6,50.4
LIMON JUNIOR-SENIOR HIGH SCHOOL,1790,LIMON RE-4J,M,5136,9,9,6,10,9,9,9,6,12,
AURORA CENTRAL HIGH SCHOOL,180,ADAMS-ARAPAHOE 28J,H,1458,5,3,5,3,3,7,9,6,8,41.1
GLENWOOD SPRINGS MIDDLE SCHOOL,1180,ROARING FORK RE-1,M,3464,9,6,6,6,7,9,9,9,10,
PRAIRIE HILLS ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,7155,9,7,9,7,6,9,9,6,10,
SILVER CREEK ELEMENTARY,20,ADAMS 12 FIVE STAR SCHOOLS,E,7795,9,9,12,9,9,9,8,9,6,
WILDCAT MOUNTAIN ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,9592,9,11,12,11,9,6,6,6,6,
ROSS MONTESSORI SCHOOL,8001,CHARTER SCHOOL INSTITUTE,M,7512,9,7,5,9,6,10,12,7,10,
EDCSD: COLORADO CYBER SCHOOL,900,DOUGLAS COUNTY RE 1,H,5405,4,5,5,5,5,1,1,1,5,16.3
VALLEY HIGH SCHOOL,3080,WELD COUNTY RE-1,H,9032,5,6,6,6,6,1,3,2,2,77.3
ESCUELA TLATELOLCO SCHOOL,880,DENVER COUNTY 1,H,2789,5,3,1,3,1,7,6,6,10,32.9
EAST HIGH SCHOOL,2690,PUEBLO CITY 60,H,2394,4,6,5,6,5,2,5,2,2,68
SKYVIEW ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,2578,9,6,9,6,7,9,8,10,8,
LEWIS-PALMER ELEMENTARY SCHOOL,1080,LEWIS-PALMER 38,E,5096,9,10,12,10,12,9,9,7,9,
MONTBELLO HIGH SCHOOL,880,DENVER COUNTY 1,H,5995,4,1,3,1,1,6,6,7,6,56.2
FLAGSTAFF CHARTER ACADEMY,470,ST VRAIN VALLEY RE 1J,M,2964,9,10,9,12,9,6,6,6,8,
ABRAHAM LINCOLN HIGH SCHOOL,880,DENVER COUNTY 1,H,10,4,3,4,3,2,6,6,6,6,51.7
CONNECTIONS LEARNING CENTER ON THE EARLE JOHNSON CAMPUS,1420,JEFFERSON COUNTY R-1,A,4798,3,,,,,,,,,
NORTHRIDGE HIGH SCHOOL,3120,GREELEY 6,H,6364,4,4,5,5,4,3,3,5,2,65.400000000000006
FALL RIVER ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,2912,9,10,10,12,10,7,6,6,8,
LINCOLN HIGH SCHOOL,2405,FORT MORGAN RE-3,H,5180,4,3,2,3,3,6,9,3,9,16.8
DEER CREEK ELEMENTARY SCHOOL,2600,PLATTE CANYON 1,E,7042,9,9,10,9,10,7,10,6,6,
PLATTE RIVER CHARTER ACADEMY,900,DOUGLAS COUNTY RE 1,E,7047,9,12,12,12,11,6,6,6,8,
ALAMEDA HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,108,4,3,5,3,3,3,5,3,3,63.4
JUSTICE HIGH SCHOOL DENVER,880,DENVER COUNTY 1,H,4494,3,1,1,1,1,6,5,10,3,26.9
WILLIAM (BILL) ROBERTS K-8 SCHOOL,880,DENVER COUNTY 1,E,9623,9,7,9,9,7,10,9,10,9,
BRUSH CREEK ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,38,9,12,12,11,12,7,6,7,8,
JUNE CREEK ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,4838,9,5,6,4,4,9,10,9,8,
CHALLENGE TO EXCELLENCE CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,E,1512,9,9,10,9,9,7,6,9,8,
HOPE ON-LINE,900,DOUGLAS COUNTY RE 1,H,3995,3,3,3,3,3,6,6,5,8,26.2
GATEWAY HIGH SCHOOL,180,ADAMS-ARAPAHOE 28J,H,3354,3,3,5,4,5,5,5,6,5,50.7
COMMUNITY PREP CHARTER SCHOOL,1010,COLORADO SPRINGS 11,H,1885,3,4,2,3,2,6,6,4,6,17.5
NORTH HIGH SCHOOL,880,DENVER COUNTY 1,H,6314,3,2,3,3,3,5,6,6,6,47.9
CLEAR SKY ELEMENTARY,900,DOUGLAS COUNTY RE 1,E,265,9,7,9,7,7,9,7,9,8,
EVERGREEN MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,2832,9,12,10,12,12,7,9,7,6,
LEWIS-ARRIOLA ELEMENTARY SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,E,5090,9,7,9,6,6,7,6,6,8,
THE BIJOU SCHOOL,1010,COLORADO SPRINGS 11,H,871,3,5,1,5,4,4,3,5,4,21.2
WEST HIGH SCHOOL,880,DENVER COUNTY 1,H,9408,3,2,3,1,2,5,6,5,4,44.9
CHERRY VALLEY ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,1578,9,7,7,7,6,9,7,7,9,
GARDEN PARK HIGH SCHOOL,1140,CANON CITY RE-1,H,3211,3,6,3,6,5,5,6,1,6,17
BEAR CREEK ELEMENTARY SCHOOL,1080,LEWIS-PALMER 38,E,3539,9,10,10,10,6,9,10,7,6,
GREEN MOUNTAIN ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,3624,9,6,6,6,6,9,6,10,9,
HOWBERT ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,4138,9,9,9,9,9,8,7,9,6,
LA JARA SECOND CHANCE SCHOOL,550,NORTH CONEJOS RE-1J,A,4837,3,,,,,,,,,
MARSHDALE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,5580,9,10,11,10,10,9,6,10,8,
MEEKER ELEMENTARY SCHOOL,2710,MEEKER RE1,E,5750,9,6,8,7,7,9,6,9,8,
SODA CREEK ELEMENTARY SCHOOL,2770,STEAMBOAT SPRINGS RE-2,E,8208,9,8,9,8,8,9,6,9,9,
SUMMIT RIDGE MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,8381,9,9,7,9,10,8,6,9,8,
CARBONDALE COMMUNITY CHARTER SCHOOL,1180,ROARING FORK RE-1,M,429,9,9,7,10,7,9,6,10,8,
COMMUNITY LEADERSHIP ACADEMY,30,ADAMS COUNTY 14,M,1882,9,5,3,6,4,13,12,9,13,
