school,district_id,district_name,emh,emh_combined,school_id,school_grade,read_achievement,math_achievement,write_achievement,science_achievement,overall_weighted_growth,read_growth,math_growth,write_growth,graduation_rate
NORTH FORK VISION SCHOOL,870,DELTA COUNTY 50(J),H,True,9146,5,8,6,6,6,6,5,9,5,47.7
MOUNTAIN VIEW ELEMENTARY SCHOOL,1040,ACADEMY 20,E,False,6158,9,12,12,12,11,9,9,7,9,
EAGLEVIEW ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,2361,9,7,10,7,9,9,9,9,9,
CIVA CHARTER ACADEMY,1010,COLORADO SPRINGS 11,H,False,1616,6,6,5,6,6,8,9,6,9,87.0
CRIPPLE CREEK-VICTOR JUNIOR-SENIOR HIGH SCHOOL,3010,CRIPPLE CREEK-VICTOR RE-1,H,False,2024,6,6,6,6,6,9,9,9,6,79.5
PALMER ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,6676,9,6,6,6,5,12,12,9,10,
MITCHELL ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,5944,9,9,10,9,11,9,9,10,7,
PUEBLO WEST HIGH SCHOOL,2700,PUEBLO COUNTY 70,H,False,7214,6,7,6,7,6,6,6,6,6,74.9
DOVE CREEK HIGH SCHOOL,890,DOLORES COUNTY RE NO.2,H,False,2216,6,6,6,6,6,3,3,5,3,94.2
PUEBLO CHARTER SCHOOL FOR THE ARTS & SCIENCES,2690,PUEBLO CITY 60,E,False,7209,9,7,8,6,7,9,7,9,9,
SOUTH HIGH SCHOOL,2690,PUEBLO CITY 60,H,False,8082,6,7,6,7,6,6,8,5,5,85.7
NEVIN PLATT MIDDLE SCHOOL,480,BOULDER VALLEY RE 2,M,False,6224,9,12,9,12,12,8,7,7,7,
FOUNTAIN-FORT CARSON HIGH SCHOOL,1000,FOUNTAIN 8,H,False,3110,6,6,6,6,6,4,6,3,5,91.1
LANDMARK ACADEMY AT REUNION,40,BRIGHTON 27J,M,False,4950,9,10,6,9,,9,9,7,7,
COLORADO SPRINGS EARLY COLLEGES,8001,CHARTER SCHOOL INSTITUTE,H,False,1795,6,9,9,9,6,7,7,6,10,53.5
PRAIRIE CROSSING ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,7134,9,7,9,7,9,9,12,9,8,
FRASER VALLEY ELEMENTARY SCHOOL,1350,EAST GRAND 2,E,False,3182,9,7,9,9,9,9,7,7,12,
RED ROCKS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,7282,9,12,11,12,10,9,7,10,8,
UTE MEADOWS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,9008,9,10,9,10,12,9,9,10,9,
ESTES PARK K-5 SCHOOL,1570,PARK (ESTES PARK) R-3,E,False,2790,9,6,8,7,10,9,10,9,9,
ACADEMY OF CHARTER SCHOOLS,20,ADAMS 12 FIVE STAR SCHOOLS,H,False,15,6,7,6,6,5,6,6,7,5,78.5
FORT COLLINS HIGH SCHOOL,1550,POUDRE R-1,H,False,3046,6,7,9,8,8,3,2,5,3,87.5
SOUTHWEST EARLY COLLEGE CHARTER SCHOOL,880,DENVER COUNTY 1,H,False,8132,6,5,6,4,4,10,10,9,9,60.5
RIFLE HIGH SCHOOL,1195,GARFIELD RE-2,H,False,7360,6,6,6,6,6,7,6,6,9,76.0
ROARING FORK HIGH SCHOOL,1180,ROARING FORK RE-1,H,False,7422,6,6,6,6,6,8,9,6,8,71.3
MESA RIDGE HIGH SCHOOL,990,WIDEFIELD 3,H,False,5841,6,6,7,6,6,6,6,6,6,86.8
PLATTE RIVER CHARTER ACADEMY,900,DOUGLAS COUNTY RE 1,E,False,7047,9,12,12,12,10,7,6,7,8,
WILEY JUNIOR-SENIOR HIGH SCHOOL,2680,WILEY RE-13 JT,M,False,9608,9,7,5,9,6,12,10,10,10,
COAL RIDGE HIGH SCHOOL,1195,GARFIELD RE-2,H,False,65,6,6,7,6,6,6,6,6,6,87.3
SOUTHERN HILLS MIDDLE SCHOOL,480,BOULDER VALLEY RE 2,M,False,8135,9,12,10,12,12,9,8,7,8,
MARTIN LUTHER KING MIDDLE COLLEGE,880,DENVER COUNTY 1,H,True,5605,6,6,6,6,6,9,9,8,9,
FREEDOM ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,False,3175,9,7,9,9,7,10,9,12,8,
ATLAS PREPARATORY SCHOOL,980,HARRISON 2,E,False,469,9,6,6,5,6,9,9,12,6,
ADAMS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,30,9,9,9,8,9,9,9,9,7,
DEER CREEK MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,False,2130,9,9,8,10,9,7,6,10,6,
WARDER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,9232,9,6,6,6,6,12,11,12,8,
NORWOOD HIGH SCHOOL,2840,NORWOOD R-2J,H,False,6422,6,6,6,6,6,6,6,6,5,89.6
OURAY ELEMENTARY SCHOOL,2580,OURAY R-1,E,False,6596,9,9,9,8,9,10,9,10,9,
POLARIS EXPEDITIONARY LEARNING SCHOOL,1550,POUDRE R-1,H,False,7104,6,6,6,6,6,6,4,3,9,80.0
CROWN POINTE CHARTER ACADEMY,70,WESTMINSTER 50,E,False,2035,9,9,10,9,9,8,6,9,7,
EATON HIGH SCHOOL,3085,EATON RE-2,H,False,2456,6,6,9,9,7,4,6,1,8,77.4
ASPEN VALLEY HIGH SCHOOL,1040,ACADEMY 20,H,False,209,6,6,6,6,6,10,12,11,6,62.6
PRIMERO JUNIOR-SENIOR HIGH SCHOOL,1590,PRIMERO REORGANIZED 2,H,False,7164,6,6,6,6,6,5,6,4,5,86.7
STERLING HIGH SCHOOL,1828,VALLEY RE-1,H,False,8260,6,6,7,7,7,6,4,6,6,75.0
BRIGHTON HIGH SCHOOL,40,BRIGHTON 27J,H,False,1022,6,6,6,6,6,5,6,5,5,86.2
CENTENNIAL HIGH SCHOOL,2690,PUEBLO CITY 60,H,False,1402,6,6,6,6,6,6,6,6,5,87.4
BAUDER ELEMENTARY SCHOOL,1550,POUDRE R-1,E,False,612,9,6,8,7,6,12,12,7,13,
FALL RIVER ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,False,2912,9,9,10,9,10,9,10,8,9,
STRASBURG ELEMENTARY SCHOOL,60,STRASBURG 31J,E,False,8328,9,6,6,6,7,9,9,9,10,
CENTENNIAL ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,False,1385,9,7,9,7,7,9,6,9,9,
BATTLE MOUNTAIN HIGH SCHOOL,910,EAGLE COUNTY RE 50,H,False,604,6,6,8,6,7,6,6,5,7,81.8
DOLORES HUERTA PREPARATORY HIGH SCHOOL,2690,PUEBLO CITY 60,H,False,2217,6,9,6,9,6,6,6,5,6,73.3
ANTONITO HIGH SCHOOL,580,SOUTH CONEJOS RE-10,H,False,252,6,5,5,6,5,8,9,6,11,82.3
EAGLE VALLEY MIDDLE SCHOOL,910,EAGLE COUNTY RE 50,M,False,2355,9,9,7,10,7,9,10,6,12,
MAPLETON EARLY COLLEGE HIGH SCHOOL,10,MAPLETON 1,H,False,212,6,6,5,6,5,9,12,6,10,71.4
SKYLINE HIGH SCHOOL,470,ST VRAIN VALLEY RE 1J,H,False,7954,6,6,6,6,6,5,6,5,4,85.1
SWINK ELEMENTARY SCHOOL,2570,SWINK 33,E,False,8452,9,9,9,7,10,9,7,11,9,
AURORA ACADEMY CHARTER SCHOOL,180,ADAMS-ARAPAHOE 28J,E,True,458,9,7,6,6,6,8,9,7,6,
AURORA ACADEMY CHARTER SCHOOL,180,ADAMS-ARAPAHOE 28J,M,True,458,9,9,8,9,6,13,12,13,11,
NIKOLA TESLA EDUCATION OPPORTUNITY CENTER,1010,COLORADO SPRINGS 11,H,False,2528,6,6,5,6,5,12,13,10,12,49.6
COAL CREEK CANYON K-8 ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,True,1730,9,9,9,6,7,7,7,9,6,
COAL CREEK CANYON K-8 ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,M,True,1730,9,9,8,8,11,11,9,12,8,
BRIDGES,1180,ROARING FORK RE-1,H,False,1006,6,6,6,6,9,6,6,6,9,68.8
PRAIRIE VIEW HIGH SCHOOL,40,BRIGHTON 27J,H,False,7129,6,5,6,6,6,6,5,6,5,88.8
LAS ANIMAS HIGH SCHOOL,290,LAS ANIMAS RE-1,H,False,4990,6,6,5,6,5,6,6,9,6,69.4
THORNTON HIGH SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,H,False,5816,6,5,6,6,6,7,6,7,6,70.0
COLORADO SPRINGS CHARTER ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,True,1791,9,9,9,7,9,6,6,6,6,
COLORADO SPRINGS CHARTER ACADEMY,8001,CHARTER SCHOOL INSTITUTE,M,True,1791,9,10,7,12,7,11,9,9,12,
GYPSUM ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,False,3710,9,6,7,6,6,10,10,10,8,
CENTENNIAL ACADEMY OF FINE ARTS EDUCATION,140,LITTLETON 6,E,False,1382,9,6,7,6,6,10,11,10,8,
BURLINGTON HIGH SCHOOL,1500,BURLINGTON RE-6J,H,False,1152,6,6,6,6,6,5,6,3,6,90.0
HARRISON HIGH SCHOOL,980,HARRISON 2,H,False,3806,6,6,6,6,6,8,9,6,9,75.8
MOFFAT SENIOR HIGH SCHOOL,2800,MOFFAT 2,H,False,5958,6,6,5,6,5,6,7,5,7,87.5
LOUISVILLE MIDDLE SCHOOL,480,BOULDER VALLEY RE 2,M,False,5306,9,12,9,12,12,7,8,6,8,
ASPEN CROSSING ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,442,9,8,10,8,6,9,10,7,9,
GREENWOOD ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,3648,9,12,13,12,12,7,9,6,9,
CEDAREDGE MIDDLE SCHOOL,870,DELTA COUNTY 50(J),M,False,1375,9,9,6,9,9,9,7,7,10,
MANUAL HIGH SCHOOL,880,DENVER COUNTY 1,H,False,5448,6,3,5,4,5,9,7,9,7,
WILDCAT MOUNTAIN ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,9592,9,12,12,11,9,6,7,6,6,
HACKBERRY HILL ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,3726,9,9,9,9,11,9,9,9,9,
PECK ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,6828,9,9,9,9,9,9,9,6,9,
KIM UNDIVIDED HIGH SCHOOL,1760,KIM REORGANIZED 88,M,True,4694,9,7,5,8,,,,,,
UPPER BLUE ELEMENTARY SCHOOL,3000,SUMMIT RE-1,E,False,8993,9,12,12,11,10,7,9,6,9,
CROWLEY COUNTY HIGH SCHOOL,770,CROWLEY COUNTY RE-1-J,H,False,2058,6,6,6,5,5,6,3,6,6,91.4
PRITCHETT HIGH SCHOOL,240,PRITCHETT RE-3,H,False,7180,6,5,4,5,3,5,5,6,5,
HIGHLAND HIGH SCHOOL,3145,AULT-HIGHLAND RE-9,H,False,3962,6,6,6,6,7,6,7,6,6,80.5
MITCHELL HIGH SCHOOL,1010,COLORADO SPRINGS 11,H,False,5948,6,6,6,6,6,6,9,5,6,73.3
NORTHGLENN HIGH SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,H,False,6402,6,5,6,5,5,9,9,8,7,67.2
NUCLA JUNIOR/SENIOR HIGH SCHOOL,2190,WEST END RE-2,H,False,6436,6,6,6,5,6,3,2,5,3,87.9
ARVADA HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,370,6,5,6,6,6,7,6,7,7,77.0
GENOA-HUGO SENIOR HIGH SCHOOL,1780,GENOA-HUGO C113,H,False,4162,6,6,6,6,6,6,6,7,5,84.8
SALIDA HIGH SCHOOL,500,SALIDA R-32,H,False,7568,6,6,8,6,6,3,3,5,1,82.9
WALDEN ELEMENTARY SCHOOL,1410,NORTH PARK R-1,E,False,9198,9,6,8,6,9,10,7,9,13,
CHINOOK TRAIL ELEMENTARY SCHOOL,1040,ACADEMY 20,E,False,1615,9,9,9,9,8,8,7,6,10,
DISCOVERY CANYON CAMPUS SCHOOL,1040,ACADEMY 20,E,False,2195,9,10,12,10,10,7,5,9,7,
ASPEN MIDDLE SCHOOL,2640,ASPEN 1,M,False,430,9,9,8,10,12,9,6,12,8,
MIDLAND ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,False,5878,9,6,6,6,7,9,7,11,9,
CHALLENGE TO EXCELLENCE CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,1512,9,9,11,9,6,9,10,6,8,
CLEAR SKY ELEMENTARY,900,DOUGLAS COUNTY RE 1,E,False,265,9,7,9,8,8,9,6,9,9,
GREELEY WEST HIGH SCHOOL,3120,GREELEY 6,H,False,3614,6,6,6,6,6,6,6,6,5,77.2
LITTLETON PREP CHARTER SCHOOL,140,LITTLETON 6,E,False,5233,9,9,9,9,9,9,9,9,6,
EDITH TETER ELEMENTARY SCHOOL,2610,PARK COUNTY RE-2,E,False,8114,9,7,9,9,12,7,5,6,10,
LONE STAR UNDIVIDED HIGH SCHOOL,3060,LONE STAR 101,H,False,5258,6,6,5,6,7,1,5,1,4,92.3
HI PLAINS UNDIVIDED HIGH SCHOOL,1460,HI-PLAINS R-23,H,True,7746,6,6,6,6,6,3,5,3,1,78.6
WELD CENTRAL SENIOR HIGH SCHOOL,3090,KEENESBURG RE-3(J),H,False,1446,6,6,6,6,6,5,5,5,4,83.6
SHERIDAN HIGH SCHOOL,123,SHERIDAN 2,H,False,7842,5,4,4,4,4,9,7,9,9,70.8
ALAMOSA HIGH SCHOOL,100,ALAMOSA RE-11J,H,False,118,6,6,6,6,5,6,3,6,6,84.7
BRANSON SCHOOL ONLINE,1750,BRANSON REORGANIZED 82,H,False,948,6,9,6,9,6,6,7,6,8,24.5
BRUCE RANDOLPH SCHOOL,880,DENVER COUNTY 1,H,True,6350,6,4,5,3,3,12,10,10,9,
RANGEVIEW HIGH SCHOOL,180,ADAMS-ARAPAHOE 28J,H,False,7250,4,6,6,5,6,6,6,6,5,70.6
ASBURY ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,388,9,6,8,7,6,9,9,9,9,
COUGAR RUN ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,1925,9,9,10,9,9,9,9,11,8,
SIERRA ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,7870,9,9,9,9,9,9,9,9,7,
OVERLAND HIGH SCHOOL,130,CHERRY CREEK 5,H,False,6625,5,5,6,6,6,6,6,6,6,77.5
WASSON HIGH SCHOOL,1010,COLORADO SPRINGS 11,H,False,9298,5,6,6,6,6,6,6,6,6,72.0
CENTRAL HIGH SCHOOL,2000,MESA COUNTY VALLEY 51,H,False,1450,5,6,6,6,6,6,6,6,5,79.8
GUNNISON MIDDLE SCHOOL,1360,GUNNISON WATERSHED RE1J,M,False,3697,9,6,6,6,7,9,6,10,9,
WESTRIDGE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,9490,9,10,9,9,10,9,9,9,9,
CANON CITY HIGH SCHOOL,1140,CANON CITY RE-1,H,False,1266,5,6,7,6,7,3,4,5,3,81.2
HIGHLINE ACADEMY CHARTER SCHOOL,880,DENVER COUNTY 1,E,True,3987,9,8,8,7,6,11,10,10,10,
HIGHLINE ACADEMY CHARTER SCHOOL,880,DENVER COUNTY 1,M,True,3987,9,6,5,7,6,8,6,6,12,
GREELEY CENTRAL HIGH SCHOOL,3120,GREELEY 6,H,False,3610,5,5,6,6,6,6,7,6,6,65.2
BOOKCLIFF MIDDLE SCHOOL,2000,MESA COUNTY VALLEY 51,M,False,900,9,6,5,6,7,12,12,9,12,
MOFFAT COUNTY HIGH SCHOOL,2020,MOFFAT COUNTY RE:NO 1,H,False,5962,5,6,6,6,6,5,3,5,6,81.1
SIERRA HIGH SCHOOL,980,HARRISON 2,H,False,7882,5,5,5,6,5,5,5,4,6,79.9
EDITH WOLFORD ELEMENTARY SCHOOL,1040,ACADEMY 20,E,False,2524,9,9,9,9,9,9,9,9,8,
COTOPAXI JUNIOR-SENIOR HIGH SCHOOL,1160,COTOPAXI RE-3,M,False,3228,9,9,6,9,7,9,12,5,12,
BENJAMIN EATON ELEMENTARY SCHOOL,3085,EATON RE-2,E,False,754,9,9,9,9,9,9,9,8,10,
ELIZABETH MIDDLE SCHOOL,920,ELIZABETH C-1,M,False,2604,9,9,7,9,9,9,10,7,9,
MOUNT CARBON ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,6135,9,9,9,9,9,8,7,9,6,
KIT CARSON ELEMENTARY SCHOOL,510,KIT CARSON R-1,E,False,4738,9,10,12,9,12,8,6,9,6,
SKYVIEW ACADEMY HIGH SCHOOL,10,MAPLETON 1,H,False,309,5,5,5,5,5,9,7,10,7,62.0
PIKES PEAK PREP,8001,CHARTER SCHOOL INSTITUTE,H,True,8929,5,7,6,6,7,9,8,10,9,
LAMAR HIGH SCHOOL,2660,LAMAR RE-2,H,False,4960,5,6,6,6,6,6,5,6,6,84.0
MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,10,MAPLETON 1,H,True,187,5,6,6,5,5,11,11,11,8,60.5
ROOSEVELT HIGH SCHOOL,3110,JOHNSTOWN-MILLIKEN RE-5J,H,False,7490,5,5,7,6,6,5,5,6,4,77.4
VALLEY HIGH SCHOOL,3080,WELD COUNTY RE-1,H,False,9032,5,6,6,6,6,3,6,2,5,79.9
SOUTH HIGH SCHOOL,880,DENVER COUNTY 1,H,False,8086,5,3,5,5,3,9,9,7,8,67.4
WILMOT ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,9648,9,11,11,12,12,6,7,6,6,
ABRAHAM LINCOLN HIGH SCHOOL,880,DENVER COUNTY 1,H,False,10,5,3,5,3,2,7,7,6,7,65.9
MORTENSEN ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,6133,9,7,7,7,9,9,7,9,6,
SHEPARDSON ELEMENTARY SCHOOL,1550,POUDRE R-1,E,False,7834,9,9,9,9,9,9,10,7,9,
MONTEZUMA-CORTEZ HIGH SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,H,False,6026,5,6,6,6,6,6,5,6,6,62.7
FRONTIER ELEMENTARY SCHOOL,1040,ACADEMY 20,E,False,3238,9,6,9,7,6,9,9,9,6,
HUNTERS GLEN ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,2580,9,8,10,9,9,6,6,9,6,
ENGLEWOOD HIGH SCHOOL,120,ENGLEWOOD 1,H,False,2746,4,4,5,5,4,5,1,6,5,78.6
WILLIAM SMITH HIGH SCHOOL,180,ADAMS-ARAPAHOE 28J,H,False,8356,5,6,6,5,6,6,5,9,3,16.3
DALTON ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,False,2095,9,6,7,6,6,10,12,8,11,
LOUISVILLE ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,False,5302,9,12,11,10,12,6,6,6,5,
HALLETT FUNDAMENTAL ACADEMY,880,DENVER COUNTY 1,E,False,4782,9,5,6,4,1,12,9,12,10,
MAMMOTH HEIGHTS ELEMENTARY,900,DOUGLAS COUNTY RE 1,E,False,2952,9,9,10,9,9,8,8,9,6,
NORTHRIDGE HIGH SCHOOL,3120,GREELEY 6,H,False,6364,5,5,5,5,5,5,5,6,3,68.3
ROCKY FORD JUNIOR/SENIOR HIGH SCHOOL,2530,ROCKY FORD R-2,H,False,7442,5,5,5,5,6,6,7,4,6,65.8
SMITH HIGH SCHOOL,1828,VALLEY RE-1,H,False,202,5,5,3,5,5,7,9,7,5,31.3
DE BEQUE UNDIVIDED HIGH SCHOOL,1980,DE BEQUE 49JT,H,True,2126,5,6,6,6,6,7,12,6,4,61.1
HINKLEY HIGH SCHOOL,180,ADAMS-ARAPAHOE 28J,H,False,4024,5,5,6,5,5,6,6,7,8,62.3
ASPEN COMMUNITY CHARTER SCHOOL,2640,ASPEN 1,E,False,42,9,10,9,7,6,6,3,9,6,
HORIZONS K-8 SCHOOL,480,BOULDER VALLEY RE 2,M,False,6642,9,13,9,12,12,7,9,6,9,
INDIAN RIDGE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,4280,9,9,11,9,12,9,9,9,8,
ARROWWOOD ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,False,354,9,9,9,7,8,8,10,7,6,
STONY CREEK ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,8280,9,9,8,9,7,9,8,9,8,
BASALT MIDDLE SCHOOL,1180,ROARING FORK RE-1,E,True,561,9,6,7,6,6,12,9,13,10,
BASALT MIDDLE SCHOOL,1180,ROARING FORK RE-1,M,True,561,9,6,5,6,6,12,12,10,13,
BERTHOUD ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,False,808,9,11,12,11,12,8,9,6,8,
EAST HIGH SCHOOL,2690,PUEBLO CITY 60,H,False,2394,5,6,6,6,5,3,6,2,3,79.0
GATEWAY HIGH SCHOOL,180,ADAMS-ARAPAHOE 28J,H,False,3354,5,5,6,5,5,6,6,6,6,60.4
MONTE VISTA ON-LINE ACADEMY,2740,MONTE VISTA C-8,H,True,6520,4,5,5,5,6,6,10,3,6,50.0
MANZANOLA JUNIOR-SENIOR HIGH SCHOOL,2535,MANZANOLA 3J,H,False,5506,5,5,5,5,4,5,5,5,5,78.7
COLORADO VIRTUAL ACADEMY (COVA),20,ADAMS 12 FIVE STAR SCHOOLS,H,False,1752,4,5,5,5,5,5,5,5,6,0.0
RANGELY JUNIOR/SENIOR HIGH SCHOOL,2720,RANGELY RE-4,H,False,7276,5,6,6,6,6,3,1,5,2,78.6
RIDGE VIEW ACADEMY CHARTER SCHOOL,880,DENVER COUNTY 1,H,False,40,5,3,3,3,3,9,7,9,10,9.8
ONLINE HIGH SCHOOL,880,DENVER COUNTY 1,H,False,6509,5,6,4,6,6,5,7,4,3,36.6
OAK CREEK ELEMENTARY SCHOOL,980,HARRISON 2,E,False,6460,9,6,6,6,6,10,7,12,9,
SILVERHEELS MIDDLE SCHOOL,2610,PARK COUNTY RE-2,M,False,7891,9,9,8,8,9,8,6,9,6,
PUEBLO COUNTY HIGH SCHOOL,2700,PUEBLO COUNTY 70,H,False,7208,5,6,6,6,6,2,4,2,3,75.2
PEAK TO PEAK CHARTER SCHOOL,480,BOULDER VALLEY RE 2,E,False,6816,9,11,11,9,12,7,9,6,6,
YOUTH & FAMILY ACADEMY CHARTER,2690,PUEBLO CITY 60,H,False,9785,5,3,5,3,2,9,7,11,7,28.9
FALCON CREEK MIDDLE SCHOOL,130,CHERRY CREEK 5,M,False,2897,9,9,6,10,8,9,10,5,11,
COMMUNITY PREP CHARTER SCHOOL,1010,COLORADO SPRINGS 11,H,False,1885,5,5,3,3,3,7,7,5,12,32.4
LEGACY ACADEMY,920,ELIZABETH C-1,M,False,2572,9,7,7,9,7,9,7,8,10,
THE IMAGINE CLASSICAL ACADEMY AT INDIGO RANCH,1110,FALCON 49,E,False,4251,9,9,9,8,7,7,8,6,9,
POWDERHORN ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,7128,9,9,9,10,9,9,9,9,6,
O'DEA ELEMENTARY SCHOOL,1550,POUDRE R-1,E,False,6476,9,8,8,6,8,9,9,9,6,
CEDAR RIDGE ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,False,1377,9,8,9,8,7,9,7,9,7,
FORT MORGAN HIGH SCHOOL,2405,FORT MORGAN RE-3,H,False,3078,5,5,6,6,5,3,5,4,3,63.4
JEFFERSON COUNTY OPEN SECONDARY,1420,JEFFERSON COUNTY R-1,H,True,6541,4,7,5,6,6,5,5,3,6,72.7
GLOBAL LEADERSHIP ACADEMY,10,MAPLETON 1,H,True,263,4,3,4,3,1,9,9,6,11,48.3
IGNACIO HIGH SCHOOL,1540,IGNACIO 11 JT,H,False,4258,4,3,5,5,6,2,1,6,1,82.4
WEST HIGH SCHOOL,880,DENVER COUNTY 1,H,False,9408,4,2,3,2,2,6,8,5,6,50.9
RED HAWK RIDGE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,7277,9,6,7,7,6,9,9,9,9,
AVON ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,False,471,9,4,6,5,6,9,11,6,10,
MOUNTAIN VALLEY SENIOR HIGH SCHOOL,2790,MOUNTAIN VALLEY RE 1,H,False,6146,4,5,6,4,6,2,2,6,1,71.9
PLATEAU VALLEY ELEMENTARY SCHOOL,1990,PLATEAU VALLEY 50,E,False,7024,9,5,6,5,6,9,11,6,12,
JEFFERSON HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,4422,4,3,5,3,2,6,6,6,5,67.8
ESCUELA TLATELOLCO SCHOOL,880,DENVER COUNTY 1,H,True,2789,3,3,1,4,1,9,9,5,12,47.6
COLORADO'S FINEST ALTERNATIVE HIGH SCHOOL,120,ENGLEWOOD 1,H,False,206,3,6,5,5,6,6,5,6,6,29.8
ROCKY HEIGHTS MIDDLE SCHOOL,900,DOUGLAS COUNTY RE 1,M,False,7448,9,10,9,12,10,6,6,7,6,
JUNE CREEK ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,False,4838,9,6,6,3,5,12,13,9,9,
RIFFENBURGH ELEMENTARY SCHOOL,1550,POUDRE R-1,E,False,7350,9,9,9,9,7,9,10,6,10,
JOHN MALL JUNIOR-SENIOR HIGH SCHOOL,1390,HUERFANO RE-1,H,True,9212,3,5,5,5,6,6,6,6,5,72.8
ALAMEDA HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,False,108,2,3,5,4,3,3,5,3,6,73.5
ACADEMIA ANA MARIE SANDOVAL,880,DENVER COUNTY 1,E,False,6397,9,6,6,6,6,11,10,9,12,
ACE COMMUNITY CHALLENGE CHARTER SCHOOL,880,DENVER COUNTY 1,H,False,1866,3,1,1,1,1,3,4,5,1,0.0
OTIS ELEMENTARY SCHOOL,3050,OTIS R-3,E,False,6582,9,6,9,7,9,9,7,8,10,
KARVAL ONLINE EDUCATION,1810,KARVAL RE-23,H,True,4504,3,6,5,5,5,2,5,1,4,50.0
AGUILAR JUNIOR-SENIOR HIGH SCHOOL,1620,AGUILAR REORGANIZED 6,H,True,66,3,4,5,5,4,6,6,6,6,77.8
CARSON ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,1324,9,8,9,9,8,10,11,9,8,
MONTBELLO HIGH SCHOOL,880,DENVER COUNTY 1,H,False,5995,3,3,3,3,2,7,7,6,7,57.9
EXCEL ACADEMY CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,E,True,2799,9,6,6,6,7,6,6,6,6,
EXCEL ACADEMY CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,M,True,2799,9,6,6,6,6,6,5,9,7,
NORTH HIGH SCHOOL,880,DENVER COUNTY 1,H,False,6314,3,2,5,3,3,6,5,6,5,58.2
LINCOLN HIGH SCHOOL,2405,FORT MORGAN RE-3,H,False,5180,3,4,3,5,5,9,9,3,12,34.1
CAMPUS MIDDLE SCHOOL,130,CHERRY CREEK 5,M,False,1566,9,10,9,12,12,7,8,6,9,
PLATTE VALLEY ELEMENTARY SCHOOL,3130,PLATTE VALLEY RE-7,E,False,7052,9,6,6,6,7,9,10,9,9,
CENTRAL HIGH SCHOOL,2690,PUEBLO CITY 60,H,False,1454,3,5,5,6,5,2,3,2,3,74.1
