school,district_id,district_name,emh,emh_combined,school_id,school_grade,read_achievement,math_achievement,write_achievement,science_achievement,overall_weighted_growth,read_growth,math_growth,write_growth,graduation_rate,year
HAXTUN ELEMENTARY SCHOOL,2630,HAXTUN RE-2J,M,False,3846,6,7,5,7,6,6,6,5,8,,2011
RIVERDALE ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,2584,6,6,6,6,6,6,6,6,6,,2011
KENNETH P MORRIS ELEMENTARY SCHOOL,3200,YUMA 1,E,False,9795,6,5,6,5,5,6,6,9,4,,2011
RIM ROCK ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,False,362,6,6,6,6,7,6,5,5,7,,2011
ABRAMS ELEMENTARY SCHOOL,1000,FOUNTAIN 8,E,False,1334,6,6,6,6,7,5,6,5,6,,2011
CENTENNIAL ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,1388,6,6,6,5,6,6,6,6,6,,2011
LAWRENCE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,5024,6,6,6,6,6,6,8,1,8,,2011
PIONEER BILINGUAL ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,False,6962,6,6,6,6,6,6,6,7,6,,2011
WELCHESTER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,9342,6,6,6,6,6,7,9,6,6,,2011
SILVER HILLS MIDDLE SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,M,False,4187,6,6,6,6,8,6,6,6,6,,2011
LANSING ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,False,4970,6,3,4,3,1,9,7,10,9,,2011
LAREDO MIDDLE SCHOOL,130,CHERRY CREEK 5,M,False,4975,6,6,6,7,6,6,5,6,6,,2011
AGUILAR ELEMENTARY SCHOOL,1620,AGUILAR REORGANIZED 6,E,False,58,6,6,6,6,5,6,7,6,6,,2011
CLEAR CREEK MIDDLE SCHOOL,540,CLEAR CREEK RE-1,M,False,1660,6,6,6,7,7,5,5,5,6,,2011
ROCKY MOUNTAIN ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,False,7464,6,5,6,6,4,7,9,7,6,,2011
SILVERTON MIDDLE SCHOOL,2820,SILVERTON 1,M,False,7902,6,6,5,6,,6,6,6,7,,2011
TRUSCOTT ELEMENTARY SCHOOL,1560,THOMPSON R2-J,E,False,8918,6,6,6,5,6,6,9,6,6,,2011
DELTA VISION SCHOOL,870,DELTA COUNTY 50(J),M,False,2166,6,6,5,6,6,7,7,6,9,,2011
MOORE K-8 SCHOOL,880,DENVER COUNTY 1,M,False,6088,6,5,1,5,6,8,9,6,7,,2011
NORTH VALLEY MIDDLE SCHOOL,3080,WELD COUNTY RE-1,M,False,4854,6,6,3,6,7,6,9,5,8,,2011
ANGEVINE MIDDLE SCHOOL,480,BOULDER VALLEY RE 2,M,False,4878,6,6,5,6,7,7,9,6,9,,2011
VINELAND MIDDLE SCHOOL,2700,PUEBLO COUNTY 70,M,False,9134,6,6,6,6,9,6,6,6,6,,2011
BENNETT ELEMENTARY SCHOOL,50,BENNETT 29J,E,False,770,6,6,6,6,6,6,5,5,6,,2011
HOLM ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,4074,6,4,6,5,6,7,7,6,9,,2011
PANORAMA MIDDLE SCHOOL,980,HARRISON 2,M,False,6686,6,5,5,6,6,6,6,7,6,,2011
CLAYTON ELEMENTARY SCHOOL,120,ENGLEWOOD 1,E,False,1652,6,6,6,6,5,6,5,6,6,,2011
EXPLORER ELEMENTARY SCHOOL,1040,ACADEMY 20,E,False,2800,6,10,10,10,9,5,6,5,5,,2011
SOPRIS ELEMENTARY SCHOOL,1180,ROARING FORK RE-1,E,False,8038,6,7,9,7,6,3,6,1,6,,2011
MESA VALLEY VISION HOME AND COMMUNITY PROGRAM,2000,MESA COUNTY VALLEY 51,E,False,5828,6,6,6,5,6,6,6,5,6,,2011
MOUNTAIN VISTA COMMUNITY SCHOOL,980,HARRISON 2,E,False,6162,6,6,7,6,5,6,6,6,6,,2011
PRAIRIE ELEMENTARY SCHOOL,3147,PRAIRIE RE-11,E,False,7154,6,10,10,9,9,5,4,6,5,,2011
PLACE BRIDGE ACADEMY,880,DENVER COUNTY 1,M,False,7045,6,1,1,1,5,9,8,9,7,,2011
FRUITA 8/9 SCHOOL,2000,MESA COUNTY VALLEY 51,M,False,361,6,6,3,6,6,6,6,5,6,,2011
LINCOLN ORCHARD MESA ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,False,5210,6,5,6,5,6,6,7,6,6,,2011
MARTINEZ ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,False,5610,6,8,9,9,6,5,2,5,6,,2011
NISLEY ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,False,6264,6,5,6,3,3,7,8,9,5,,2011
BAKER CENTRAL SCHOOL,2405,FORT MORGAN RE-3,E,False,492,6,6,5,6,5,6,6,6,7,,2011
BELMAR ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,724,6,6,6,6,6,6,6,6,6,,2011
WEBSTER ELEMENTARY SCHOOL,990,WIDEFIELD 3,E,False,9334,6,6,7,6,6,6,6,6,6,,2011
YORK INTERNATIONAL,10,MAPLETON 1,M,False,503,6,6,5,6,6,6,6,5,6,,2011
NEW VISION CHARTER SCHOOL,1560,THOMPSON R2-J,M,False,6220,6,7,5,9,9,6,7,6,6,,2011
INDIAN PEAKS ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,False,4278,6,5,6,6,2,8,6,7,9,,2011
HOPKINS ELEMENTARY SCHOOL,140,LITTLETON 6,E,False,5572,6,6,8,6,7,6,2,6,6,,2011
PARR ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,6806,6,6,6,6,6,6,6,6,3,,2011
CANON CITY MIDDLE SCHOOL,1140,CANON CITY RE-1,M,False,1262,6,6,6,6,6,5,5,5,5,,2011
ARCHULETA ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,3340,6,4,6,5,5,7,6,9,6,,2011
NORTHRIDGE ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,False,6404,6,3,5,3,1,9,9,7,7,,2011
OTIS ELEMENTARY SCHOOL,3050,OTIS R-3,E,False,6582,6,6,6,6,9,6,6,6,7,,2011
PLATTEVILLE ELEMENTARY SCHOOL,3080,WELD COUNTY RE-1,E,False,7056,6,7,7,6,6,6,7,6,5,,2011
AURORA ACADEMY CHARTER SCHOOL,180,ADAMS-ARAPAHOE 28J,E,False,458,6,6,6,6,6,6,6,6,6,,2011
HIGH POINT ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,False,655,6,6,6,6,6,6,10,5,3,,2011
T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE,8001,CHARTER SCHOOL INSTITUTE,M,False,657,6,6,3,6,,6,8,6,6,,2011
BETHUNE JUNIOR-SENIOR HIGH SCHOOL,1490,BETHUNE R-5,M,False,842,6,5,3,6,5,6,9,5,7,,2011
IDALIA JUNIOR-SENIOR HIGH SCHOOL,3220,IDALIA RJ-3,M,False,4231,6,3,4,4,6,7,6,12,3,,2011
CROWLEY COUNTY WARD MIDDLE SCHOOL,770,CROWLEY COUNTY RE-1-J,M,False,2054,6,6,5,6,5,6,6,5,7,,2011
HARRINGTON ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,3778,6,1,5,2,1,9,9,9,9,,2011
SIERRA MIDDLE SCHOOL,900,DOUGLAS COUNTY RE 1,M,False,6773,6,7,6,9,9,6,3,6,6,,2011
STELLAR ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,8225,6,6,7,6,6,6,6,5,6,,2011
LINCOLN CHARTER ACADEMY,1420,JEFFERSON COUNTY R-1,M,False,5145,6,9,6,9,9,5,6,3,6,,2011
LAMAR MIDDLE SCHOOL,2660,LAMAR RE-2,M,False,4956,6,6,6,6,6,6,5,6,6,,2011
HEIMAN ELEMENTARY SCHOOL,3120,GREELEY 6,E,False,52,6,5,6,6,5,6,3,9,6,,2011
LOMA ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,False,5244,6,7,9,7,8,5,6,3,6,,2011
PIONEER ELEMENTARY SCHOOL,2405,FORT MORGAN RE-3,E,False,6954,6,5,6,3,,6,6,6,6,,2011
SPANGLER ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,False,8140,6,3,5,5,2,7,6,6,12,,2011
TAYLOR ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,False,8462,6,7,7,6,6,5,6,3,6,,2011
PAGOSA SPRINGS MIDDLE SCHOOL,220,ARCHULETA COUNTY 50 JT,E,False,6657,6,7,6,6,6,6,9,5,4,,2011
ALLENDALE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,148,6,5,5,3,5,6,6,7,5,,2011
KEN CARYL MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,False,4548,6,8,7,9,9,5,3,8,2,,2011
HUDSON ELEMENTARY SCHOOL,3090,KEENESBURG RE-3(J),E,False,4148,6,6,6,6,5,6,6,6,6,,2011
SAGEBRUSH ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,7559,6,6,6,6,6,6,6,6,5,,2011
WATSON JUNIOR HIGH SCHOOL,990,WIDEFIELD 3,M,False,9294,6,6,6,6,6,6,5,9,5,,2011
EYESTONE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,False,9370,6,6,7,6,6,6,6,5,7,,2011
WINOGRAD K-8 ELEMENTARY SCHOOL,3120,GREELEY 6,M,False,53,6,6,5,6,6,6,6,6,6,,2011
IMAGINE CHARTER,470,ST VRAIN VALLEY RE 1J,M,False,4333,6,7,5,6,6,6,5,7,6,,2011
CASEY MIDDLE SCHOOL,480,BOULDER VALLEY RE 2,M,False,1352,6,6,6,6,6,9,8,7,9,,2011
SUMMIT ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,8380,6,6,7,6,6,5,6,5,5,,2011
BATES ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,False,594,6,7,7,7,6,3,5,3,3,,2011
EADS MIDDLE SCHOOL,1430,EADS RE-1,M,False,2332,6,7,7,9,,5,1,6,6,,2011
FIELD ELEMENTARY SCHOOL,140,LITTLETON 6,E,False,2926,6,6,6,6,6,6,6,6,6,,2011
LAB ELEMENTARY SCHOOL FOR CREATIVE LEARNING,1550,POUDRE R-1,E,False,3791,6,6,6,6,9,6,6,6,6,,2011
HORIZON MIDDLE SCHOOL,130,CHERRY CREEK 5,M,False,4100,6,6,5,6,6,6,6,6,8,,2011
AVERY/PARSONS ELEMENTARY SCHOOL,490,BUENA VISTA R-31,E,False,4306,6,7,7,9,6,3,9,1,6,,2011
LEROY DRIVE ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,5058,6,6,7,6,5,6,4,7,5,,2011
MC CLAVE ELEMENTARY SCHOOL,310,MC CLAVE RE-2,E,False,5666,6,6,6,6,6,7,8,6,7,,2011
BARONE MIDDLE SCHOOL,2710,MEEKER RE1,M,False,5754,6,7,6,9,9,5,6,5,5,,2011
MIDLAND ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,False,5878,6,6,6,6,6,6,5,6,6,,2011
PEYTON ELEMENTARY SCHOOL,1060,PEYTON 23 JT,E,False,6898,6,7,8,6,9,5,6,3,6,,2011
RIDGEVIEW ELEMENTARY SCHOOL,2020,MOFFAT COUNTY RE:NO 1,E,False,7338,6,6,7,6,6,6,6,6,6,,2011
STUKEY ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,8361,6,5,5,5,6,6,6,6,8,,2011
VIRGINIA COURT ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,False,9140,5,1,3,1,1,9,6,9,8,,2011
ASPEN COMMUNITY CHARTER SCHOOL,2640,ASPEN 1,E,False,42,6,10,8,7,6,5,1,8,5,,2011
AXL ACADEMY,180,ADAMS-ARAPAHOE 28J,M,False,213,6,4,1,4,,9,6,7,12,,2011
YORK INTERNATIONAL,10,MAPLETON 1,E,False,503,6,6,9,6,6,4,5,6,2,,2011
CAPROCK ACADEMY,8001,CHARTER SCHOOL INSTITUTE,M,False,1279,6,9,6,9,6,6,6,5,7,,2011
CORWIN INTERNATIONAL MAGNET SCHOOL,2690,PUEBLO CITY 60,M,False,2096,6,9,6,9,6,3,6,1,5,,2011
LEGACY ACADEMY,920,ELIZABETH C-1,E,False,2572,6,7,9,6,6,5,3,6,3,,2011
HI PLAINS UNDIVIDED HIGH SCHOOL,1460,HI-PLAINS R-23,M,False,7746,6,6,5,8,6,5,3,5,6,,2011
COAL RIDGE MIDDLE SCHOOL,470,ST VRAIN VALLEY RE 1J,M,False,3194,6,6,5,6,6,7,6,6,8,,2011
STERLING MIDDLE SCHOOL,1828,VALLEY RE-1,M,False,8256,6,6,6,6,6,6,5,6,6,,2011
NORTH MOR ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,6355,6,3,5,3,5,9,6,10,7,,2011
MALLEY DRIVE ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,5418,6,5,6,3,5,6,6,6,6,,2011
WEIKEL ELEMENTARY SCHOOL,1000,FOUNTAIN 8,E,False,9610,6,6,7,6,6,5,3,6,6,,2011
BEAR CREEK K-8 SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,660,6,7,9,7,6,3,6,3,3,,2011
RIFLE MIDDLE SCHOOL,1195,GARFIELD RE-2,M,False,7356,6,5,3,5,6,6,7,5,9,,2011
ALSUP ELEMENTARY SCHOOL,30,ADAMS COUNTY 14,E,False,186,6,5,4,5,3,6,9,5,6,,2011
CARSON MIDDLE SCHOOL,1000,FOUNTAIN 8,M,False,1332,6,6,5,6,6,6,5,5,6,,2011
CHERAW MIDDLE SCHOOL,2560,CHERAW 31,M,False,1548,6,6,5,6,7,6,6,5,7,,2011
HIGHLAND ELEMENTARY SCHOOL,1195,GARFIELD RE-2,E,False,3967,6,6,6,3,,6,6,7,5,,2011
LAREDO ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,False,4973,6,3,5,4,6,6,6,6,6,,2011
CACTUS VALLEY ELEMENTARY SCHOOL,1195,GARFIELD RE-2,E,False,7890,6,6,7,6,,5,5,5,5,,2011
WINONA ELEMENTARY SCHOOL,1560,THOMPSON R2-J,E,False,9674,6,5,6,5,5,6,6,9,3,,2011
MEADOW COMMUNITY SCHOOL,10,MAPLETON 1,E,False,502,6,2,3,1,1,8,4,9,9,,2011
NORWOOD HIGH SCHOOL,2840,NORWOOD R-2J,M,False,6422,6,8,5,7,9,5,3,5,6,,2011
LOWRY ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,5342,6,6,7,6,6,6,6,6,6,,2011
MANASSA ELEMENTARY SCHOOL,550,NORTH CONEJOS RE-1J,E,False,5422,6,9,11,9,9,4,1,5,6,,2011
SANGRE DE CRISTO ELEMENTARY SCHOOL,110,SANGRE DE CRISTO RE-22J,E,False,7626,6,5,5,3,5,6,9,5,4,,2011
GARDNER ELEMENTARY SCHOOL,1390,HUERFANO RE-1,M,False,3306,6,9,6,9,6,6,6,3,7,,2011
BRUSH MIDDLE SCHOOL,2395,BRUSH RE-2(J),M,False,1094,6,6,5,6,6,7,6,7,7,,2011
CHERRY DRIVE ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,2576,6,5,6,5,5,6,6,6,6,,2011
JACKSON ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,False,4358,6,6,6,6,6,3,6,4,3,,2011
PIKES PEAK ELEMENTARY SCHOOL,980,HARRISON 2,E,False,6936,6,5,6,5,5,6,5,8,5,,2011
BRANSON SCHOOL ONLINE,1750,BRANSON REORGANIZED 82,M,False,948,6,8,6,7,6,6,5,6,6,,2011
BEULAH HEIGHTS ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,False,860,6,6,6,6,5,5,5,5,6,,2011
NATURITA ELEMENTARY & MIDDLE SCHOOL,2190,WEST END RE-2,E,False,6196,6,7,10,7,7,4,4,6,2,,2011
BELMONT ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,False,738,6,8,8,7,5,5,3,5,6,,2011
HARRIS PARK ELEMENTARY SCHOOL,70,WESTMINSTER 50,E,False,3792,6,3,5,3,4,9,7,10,7,,2011
KEARNEY MIDDLE SCHOOL,30,ADAMS COUNTY 14,M,False,4516,6,4,5,5,5,9,6,11,6,,2011
ROSS MONTESSORI SCHOOL,8001,CHARTER SCHOOL INSTITUTE,E,False,7512,6,9,8,9,9,3,6,1,6,,2011
INDEPENDENCE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,4276,6,6,6,6,6,6,6,6,6,,2011
LAUREL ELEMENTARY SCHOOL,1550,POUDRE R-1,E,False,5014,6,6,6,6,5,6,7,4,7,,2011
PLACE BRIDGE ACADEMY,880,DENVER COUNTY 1,E,False,7045,6,1,1,1,2,8,9,7,7,,2011
TRAILBLAZER ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,False,8902,6,9,9,9,7,3,5,2,6,,2011
BROWN ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,1076,6,6,6,6,4,5,6,4,6,,2011
CAMPBELL ELEMENTARY SCHOOL,1828,VALLEY RE-1,E,False,1321,6,6,9,6,9,5,6,5,4,,2011
DOUGLASS VALLEY ELEMENTARY SCHOOL,1040,ACADEMY 20,E,False,2248,6,8,8,7,7,6,6,5,5,,2011
LINCOLN ELEMENTARY SCHOOL,1560,THOMPSON R2-J,E,False,5170,6,6,6,6,7,6,6,6,6,,2011
NORTH MIDDLE SCHOOL HEALTH SCIENCES AND TECHNOLOGY CAMPUS,180,ADAMS-ARAPAHOE 28J,M,False,6310,6,3,3,4,5,7,10,5,7,,2011
GLOBAL VILLAGE ACADEMY,180,ADAMS-ARAPAHOE 28J,M,False,3471,6,5,1,6,4,6,7,5,8,,2011
BURLINGTON ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,False,1148,6,6,9,7,6,6,6,3,8,,2011
MANITOU SPRINGS ELEMENTARY SCHOOL,1030,MANITOU SPRINGS 14,E,False,5460,6,9,7,9,7,5,9,2,6,,2011
SCHMITT ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,7698,6,3,3,4,1,7,2,10,9,,2011
CAPROCK ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,False,1279,6,7,6,7,7,3,3,4,5,,2011
COLUMBINE ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,1846,6,3,5,4,3,7,5,9,7,,2011
HOEHNE JUNIOR HIGH SCHOOL,1600,HOEHNE REORGANIZED 3,M,False,4045,6,6,5,6,6,6,6,7,1,,2011
PLATTE VALLEY ELEMENTARY SCHOOL,2865,PLATTE VALLEY RE-3,E,False,7050,6,8,10,6,10,2,1,2,6,,2011
PLAINVIEW ELEMENTARY SCHOOL,1440,PLAINVIEW RE-2,E,False,6992,6,3,6,1,7,6,3,6,9,,2011
COLFAX ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,1774,6,2,5,4,1,7,6,6,8,,2011
EVERITT MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,False,2820,6,5,4,6,6,6,5,7,5,,2011
NORTH MIDDLE SCHOOL,1010,COLORADO SPRINGS 11,M,False,6306,6,6,6,8,6,5,6,5,5,,2011
AKRON ELEMENTARY SCHOOL,3030,AKRON R-1,M,False,86,6,6,6,6,6,6,5,6,5,,2011
GUST ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,3704,6,3,6,4,3,8,6,9,8,,2011
HIGHLINE COMMUNITY ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,3988,6,6,6,6,3,6,5,6,6,,2011
SUNSET RIDGE ELEMENTARY SCHOOL,70,WESTMINSTER 50,E,False,8406,6,4,6,5,5,6,4,8,6,,2011
THOMSON ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,8834,6,5,5,5,6,7,6,7,6,,2011
BRYANT WEBSTER K-8 SCHOOL,880,DENVER COUNTY 1,E,False,1106,6,3,5,5,4,7,6,8,7,,2011
PEYTON JUNIOR/SENIOR HIGH SCHOOL,1060,PEYTON 23 JT,M,False,6902,6,6,6,7,7,5,5,6,4,,2011
NORTHSIDE ELEMENTARY SCHOOL,2180,MONTROSE COUNTY RE-1J,E,False,6366,6,5,6,5,5,6,6,7,3,,2011
EXPLORE ELEMENTARY,10,MAPLETON 1,E,False,506,6,5,6,4,6,6,5,9,6,,2011
CHIPETA ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,False,1619,6,3,5,3,3,7,7,6,8,,2011
SANDROCK ELEMENTARY,2020,MOFFAT COUNTY RE:NO 1,E,False,1936,6,5,5,4,3,7,8,6,6,,2011
MERRILL MIDDLE SCHOOL,880,DENVER COUNTY 1,M,False,5826,6,1,1,2,3,9,7,9,8,,2011
BUCHANAN MIDDLE SCHOOL,3210,WRAY RD-2,M,False,9729,6,6,3,6,5,5,6,5,5,,2011
BRIGGSDALE UNDIVIDED HIGH SCHOOL,3146,BRIGGSDALE RE-10,M,False,1012,6,7,6,7,12,5,6,3,5,,2011
PONDEROSA ELEMENTARY,1560,THOMPSON R2-J,E,False,7113,6,7,6,6,7,5,9,1,6,,2011
LA JUNTA INTERMEDIATE SCHOOL,2520,EAST OTERO R-1,E,False,4841,6,5,6,5,5,6,5,6,6,,2011
SANFORD JUNIOR/SENIOR HIGH SCHOOL,560,SANFORD 6J,M,False,7616,6,6,6,6,6,5,6,2,6,,2011
SPRINGFIELD JUNIOR HIGH SCHOOL,250,SPRINGFIELD RE-4,M,False,8164,6,6,4,7,6,5,6,1,7,,2011
TOPE ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,False,8876,6,6,6,6,6,6,5,6,6,,2011
GATEWAY ELEMENTARY SCHOOL,3020,WOODLAND PARK RE-2,E,False,9692,6,7,7,7,7,5,3,5,6,,2011
CUSTER MIDDLE SCHOOL,860,CUSTER COUNTY SCHOOL DISTR,M,False,2091,6,6,6,6,8,6,7,5,6,,2011
GLOBE CHARTER SCHOOL,1010,COLORADO SPRINGS 11,E,False,3470,6,6,6,6,9,5,6,1,6,,2011
GENOA-HUGO ELEMENTARY SCHOOL,1780,GENOA-HUGO C113,E,False,4158,6,6,7,6,6,6,5,12,2,,2011
MADISON EXPLORATORY SCHOOL,1140,CANON CITY RE-1,E,False,5414,6,7,6,6,6,6,5,3,7,,2011
VINELAND ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,False,9130,6,6,7,6,4,3,6,1,6,,2011
SAND CREEK ELEMENTARY SCHOOL,980,HARRISON 2,E,False,7611,6,6,6,6,5,5,6,3,6,,2011
GUADALUPE ELEMENTARY SCHOOL,580,SOUTH CONEJOS RE-10,E,False,248,6,6,6,6,5,6,3,6,9,,2011
CARVER ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,False,1340,6,6,6,6,6,5,6,6,2,,2011
VIVIAN ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,9154,6,6,5,3,5,6,9,6,5,,2011
WEST ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,False,9445,6,6,6,5,5,6,6,6,5,,2011
CHEYENNE WELLS MIDDLE SCHOOL,520,CHEYENNE COUNTY RE-5,M,False,1610,6,5,6,6,5,6,3,10,3,,2011
GREEN VALLEY ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,3641,6,3,3,2,1,7,7,6,9,,2011
HIGH PLAINS ELEMENTARY SCHOOL,1040,ACADEMY 20,E,False,3985,6,6,6,6,7,4,5,4,6,,2011
DUAL IMMERSION ACADEMY SCHOOL,2000,MESA COUNTY VALLEY 51,E,False,2297,6,5,6,6,6,6,8,3,6,,2011
JAMES IRWIN CHARTER MIDDLE SCHOOL,980,HARRISON 2,M,False,4379,6,7,9,9,6,3,1,6,3,,2011
ORCHARD AVENUE ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,False,6554,6,9,10,7,9,3,5,3,3,,2011
SKYLINE ELEMENTARY SCHOOL,1140,CANON CITY RE-1,E,False,7950,6,5,6,5,6,5,7,2,6,,2011
SHELLEDY ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,False,7832,6,7,6,6,6,6,6,6,5,,2011
PEAKVIEW SCHOOL,1390,HUERFANO RE-1,M,False,63,6,6,3,6,6,6,6,6,4,,2011
BOSTON K-8 SCHOOL,180,ADAMS-ARAPAHOE 28J,M,False,914,6,1,1,1,1,9,8,9,6,,2011
FAIRMONT K-8 SCHOOL,880,DENVER COUNTY 1,E,False,2856,6,1,5,3,1,9,5,11,9,,2011
FAIRMONT K-8 SCHOOL,880,DENVER COUNTY 1,M,False,2856,6,2,1,2,2,9,6,12,6,,2011
GIBERSON ELEMENTARY SCHOOL,980,HARRISON 2,E,False,3392,6,5,6,5,4,5,6,5,5,,2011
NORTH ARVADA MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,False,6330,6,6,5,6,6,6,6,6,5,,2011
SCHOLARS TO LEADERS ACADEMY,8001,CHARTER SCHOOL INSTITUTE,M,False,1376,6,5,1,3,,6,6,5,8,,2011
COMPASS MONTESSORI - GOLDEN CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,M,False,1880,6,6,1,6,6,6,5,6,6,,2011
PETE MIRICH ELEMENTARY SCHOOL,3080,WELD COUNTY RE-1,E,False,4852,6,6,6,6,6,5,6,5,5,,2011
SHADOW RIDGE MIDDLE SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,M,False,6342,6,6,6,6,6,6,6,6,5,,2011
CALHAN ELEMENTARY SCHOOL,970,CALHAN RJ-1,E,False,1210,6,6,8,6,7,4,6,3,5,,2011
FORT LUPTON MIDDLE SCHOOL,3140,WELD COUNTY S/D RE-8,M,False,3066,6,5,5,5,6,6,7,5,6,,2011
OTIS JUNIOR-SENIOR HIGH SCHOOL,3050,OTIS R-3,M,False,6586,6,6,6,8,6,4,3,3,6,,2011
SAGEWOOD MIDDLE SCHOOL,900,DOUGLAS COUNTY RE 1,M,False,6772,6,9,6,9,7,5,3,6,4,,2011
DESERT SAGE ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,False,26,6,6,8,6,6,5,3,5,5,,2011
BEULAH MIDDLE SCHOOL,2700,PUEBLO COUNTY 70,M,False,856,6,7,5,7,9,3,5,1,6,,2011
SOUTH VALLEY MIDDLE SCHOOL,3080,WELD COUNTY RE-1,M,False,7058,6,5,5,6,6,6,6,6,5,,2011
SANCHEZ ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,False,7592,6,1,5,3,5,6,3,9,8,,2011
COMPASS MONTESSORI - GOLDEN CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,1880,6,6,6,5,6,5,3,5,6,,2011
INDEPENDENCE ACADEMY,2000,MESA COUNTY VALLEY 51,E,False,2128,6,6,6,6,6,3,6,1,5,,2011
POLARIS EXPEDITIONARY LEARNING SCHOOL,1550,POUDRE R-1,M,False,7104,6,7,6,6,7,6,7,3,6,,2011
DOS RIOS ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,False,2224,6,6,6,5,5,5,6,5,3,,2011
